"","team_id","season","player","ip","ha","bb","hb","so","hr_a","era","opp_avg","whip","fip"
"714",402,2022,"Shaelyn Sanders",80.3333333333334,83,22,5,39,11,"2.788",0.259,28.033,"4.217"
"715",28755,2022,"Emily Estroff",64.6666666666667,86,38,5,25,3,"5.088",0.326,44.33,"4.225"
"716",458,2022,"Madelyn Wright",130.333333333333,142,46,5,81,19,"3.706",0.276,52.09,"4.226"
"717",283,2022,"Julia Apsel",95,91,36,15,61,11,"3.021",0.248,51.958,"4.232"
"718",148,2022,"Torrie Jenkins",54,47,12,2,17,7,"2.593",0.222,14.87,"4.233"
"719",314,2022,"Leah Hopson",36,60,11,3,14,4,"7.389",0.353,15.667,"4.233"
"720",746,2022,"Mikayla Houge",97.6666666666667,94,25,4,45,14,"3.727",0.244,29.962,"4.233"
"721",603,2022,"Carolina Zamudio",95.6666666666667,114,32,4,83,18,"4.902",0.28,37.192,"4.240"
"722",393,2022,"Saje Kurpiela",29.3333333333333,30,21,1,19,2,"4.534",0.256,23.023,"4.241"
"723",792,2022,"Sydney Boulware",117,132,54,13,129,21,"4.726",0.272,68.128,"4.246"
"724",406,2022,"Hannah Pitts",172.666666666667,162,43,21,125,29,"3.851",0.243,64.938,"4.247"
"725",433,2022,"Catelyn Riley",81,83,36,5,58,11,"3.457",0.261,42.025,"4.252"
"726",1104,2022,"Ryan Denhart",23.6666666666667,23,12,1,17,3,"3.254",0.245,13.972,"4.259"
"727",294,2022,"Emma Mcmurray",82.6666666666667,81,39,11,76,12,"4.573",0.252,50.98,"4.263"
"728",127,2022,"Kaylee Whittaker",139,168,57,11,89,18,"4.482",0.295,69.209,"4.271"
"729",428,2022,"Emily Leavitt",163.666666666667,201,84,16,133,21,"4.576",0.307,101.228,"4.276"
"730",380,2022,"Emily Reid",87.3333333333333,123,35,16,53,9,"5.450",0.316,52.408,"4.278"
"731",147,2022,"Brooke Mccubbin",40.3333333333333,39,13,1,22,6,"2.603",0.252,14.967,"4.284"
"732",189,2022,"Mackenzie Hupke",66.3333333333333,64,67,7,81,5,"4.749",0.241,74.965,"4.284"
"733",342,2022,"Kailee Sawai",61,75,32,1,31,6,"3.672",0.292,34.23,"4.285"
"734",202,2022,"Samantha Reynoso",107,160,35,6,45,13,"5.561",0.344,42.495,"4.288"
"735",400,2022,"Jessie Dipasquale",149.333333333333,155,62,8,120,24,"3.422",0.268,71.038,"4.288"
"736",617,2022,"Kasidy Slusser",45,80,10,4,11,5,"5.133",0.39,15.778,"4.289"
"737",562,2022,"Jaclyn Gonzalez",79.3333333333333,95,41,8,44,7,"4.853",0.28,50.197,"4.291"
"738",466,2022,"Blake Craft",116.666666666667,143,49,6,102,20,"4.740",0.292,56.226,"4.294"
"739",464,2022,"Anna Chapman",24.6666666666667,17,14,1,12,2,"2.554",0.193,15.689,"4.305"
"740",648,2022,"Kelsey Oh",45.6666666666667,37,18,1,37,8,"4.599",0.213,19.81,"4.305"
"741",1395,2022,"Julia Wernet",47.6666666666667,48,31,5,28,3,"3.671",0.262,37.007,"4.309"
"742",290,2022,"Analise De la roca",137,119,74,31,85,9,"3.168",0.234,105.869,"4.312"
"743",80,2022,"Grace Ladd",15.6666666666667,29,13,1,6,0,"4.915",0.362,15.851,"4.315"
"744",127,2022,"Ashley Antonazzo",103.333333333333,160,35,3,49,14,"5.555",0.343,39.548,"4.316"
"745",17,2022,"Kiri Parker",92.3333333333333,91,55,7,50,7,"4.018",0.25,62.986,"4.317"
"746",617,2022,"Christina Colon",48,50,33,5,24,2,"4.812",0.275,39.042,"4.317"
"747",711,2022,"Melissa Abrahamian",52.6666666666667,74,31,7,39,5,"6.380",0.326,39.405,"4.318"
"748",290,2022,"Tracey Mosley",41.6666666666667,61,23,5,28,4,"6.216",0.33,29.464,"4.320"
"749",368,2022,"Chelsea Runyon",76,80,29,10,83,15,"3.961",0.269,40.053,"4.321"
"750",553,2022,"Hailey Elizarraras",46.3333333333333,70,19,1,31,7,"5.590",0.332,21.511,"4.321"
"751",392,2022,"Haley Ellefson",51,75,15,6,28,7,"4.941",0.339,22.471,"4.322"
"752",102,2022,"Kelsey Alcantara",26,33,9,3,6,2,"5.385",0.317,13.269,"4.323"
"753",699,2022,"Tierrah Williams",37.3333333333333,33,14,1,19,5,"2.437",0.231,15.884,"4.329"
"754",9,2022,"Makenna Pierce",72,69,26,6,50,11,"3.694",0.25,32.958,"4.331"
"755",609,2022,"Taylor Hochman",120.666666666667,134,72,10,78,11,"3.771",0.285,83.11,"4.331"
"756",647,2022,"Jade Hendricks",39.3333333333333,86,19,3,8,2,"10.322",0.455,24.186,"4.332"
"757",660,2022,"Kelsey Ray",72.3333333333333,77,33,9,45,8,"4.161",0.268,43.065,"4.335"
"758",664,2022,"Rycca Hinton",11.3333333333333,17,8,0,1,0,"5.559",0.395,9.5,"4.341"
"759",302,2022,"Alyssa Mcintosh",64.3333333333333,71,21,13,34,7,"3.699",0.27,35.104,"4.343"
"760",695,2022,"Katie Dreiling",36,29,13,6,26,5,"3.306",0.22,19.806,"4.344"
"761",251,2022,"Julia Parker",134.666666666667,164,79,12,103,15,"4.782",0.291,92.218,"4.346"
"762",2707,2022,"Jenna Milan",20,41,6,1,4,2,"8.050",0.402,9.05,"4.350"
"763",104,2022,"Camryn Snyder",95.6666666666667,90,40,10,66,13,"3.951",0.237,50.941,"4.355"
"764",746,2022,"Madison Harris",29.6666666666667,29,20,2,30,4,"2.596",0.248,22.978,"4.355"
"765",30024,2022,"Anna Berger",16.3333333333333,26,9,2,7,1,"6.429",0.351,12.592,"4.359"
"766",328,2022,"Kasey Hamilton",137,180,76,20,94,13,"5.467",0.31,97.314,"4.364"
"767",651,2022,"Erin Poepping",55,41,38,9,36,3,"3.564",0.206,47.745,"4.364"
"768",1092,2022,"Andrea Lyon",177.666666666667,183,92,18,101,17,"4.295",0.264,111.03,"4.364"
"769",732,2022,"Mariah Lopez",91,86,25,10,80,18,"2.923",0.245,35.945,"4.367"
"770",562,2022,"Julia Woeste",10.6666666666667,18,11,0,6,0,"11.156",0.36,12.688,"4.369"
"771",26172,2022,"Megan Depew",22.3333333333333,38,18,1,13,1,"6.269",0.384,20.701,"4.370"
"772",255,2022,"Chandler Dennis",129,114,62,12,107,19,"2.930",0.229,74.884,"4.377"
"773",432,2022,"Morgan Gutierrez",30.3333333333333,34,15,7,16,2,"5.308",0.286,23.121,"4.378"
"774",624,2022,"Mika Vento",137,139,66,4,86,18,"3.423",0.256,71.015,"4.385"
"775",156,2022,"Jetta Nannen",50.3333333333333,56,13,1,23,8,"3.338",0.272,15.113,"4.387"
"776",90,2022,"Paige Maier",81,91,33,7,38,9,"4.148",0.283,41.123,"4.388"
"777",334,2022,"Stephanie Schoonover",63.3333333333333,61,45,13,63,6,"5.305",0.253,58.963,"4.389"
"778",693,2022,"Izzy Alley",91,104,44,6,56,11,"4.615",0.272,51.143,"4.389"
"779",490,2022,"Aisha Weixlmann",127.666666666667,116,54,23,138,23,"3.838",0.234,77.909,"4.390"
"780",678,2022,"Lauren Klein",105,121,36,11,57,14,"3.800",0.291,48.152,"4.390"
"781",756,2022,"Kelley Lynch",69,53,39,22,81,9,"3.754",0.212,61.768,"4.400"
"782",30095,2022,"Carissa Burgess",55,77,30,7,46,7,"6.873",0.326,38.4,"4.400"
"783",700,2022,"Olivia Rains",50.3333333333333,69,27,2,32,6,"4.728",0.329,30.371,"4.407"
"784",287,2022,"Sarah Venker",80.6666666666667,80,55,8,59,7,"3.645",0.254,63.992,"4.408"
"785",196,2022,"Madisyn Davis",71,61,39,10,54,8,"2.859",0.232,49.859,"4.414"
"786",418,2022,"Lauren Derkowski",44.6666666666667,30,27,10,43,5,"2.351",0.189,37.672,"4.415"
"787",731,2022,"Alyssa Millemon",22.3333333333333,41,6,1,14,4,"7.209",0.39,8.836,"4.415"
"788",709,2022,"Ellie Price",62,85,22,2,19,7,"4.742",0.314,25.371,"4.416"
"789",202,2022,"Lauren Narvaez",117,143,34,1,32,15,"3.410",0.299,36.222,"4.417"
"790",328,2022,"Katie Brooks",101,128,54,15,60,9,"4.713",0.3,70.267,"4.420"
"791",1395,2022,"Tristan Bridges",155.666666666667,150,106,21,111,12,"3.463",0.249,127.964,"4.424"
"792",579,2022,"Madison Devault",42.3333333333333,29,35,2,32,3,"3.307",0.195,37.685,"4.431"
"793",128,2022,"Kaitlyn Felton",50,59,18,7,32,7,"3.360",0.286,26.18,"4.440"
"794",228,2022,"Lauryn Peppers",62.3333333333333,46,49,5,43,4,"2.246",0.211,54.738,"4.453"
"795",306,2022,"Macy Montgomery",90,95,46,10,76,13,"3.889",0.267,57.056,"4.456"
