"","team_name","team_id","division"
"215","Shippensburg","638","D-II"
"216","Shorter","30151","D-II"
"217","Simon Fraser","30127","D-II"
"218","Sioux Falls","30128","D-II"
"219","Slippery Rock","643","D-II"
"220","Sonoma St.","645","D-II"
"221","Southeastern Okla.","1371","D-II"
"222","Southern Ark.","1376","D-II"
"223","Southern Conn. St.","658","D-II"
"224","Southern N.H.","468","D-II"
"225","Southern Nazarene","30152","D-II"
"226","Southern Wesleyan","30192","D-II"
"227","Southwest Baptist","2755","D-II"
"228","Southwest Minn. St.","8736","D-II"
"229","Southwestern Okla.","8744","D-II"
"230","Spring Hill","30191","D-II"
"231","St. Anselm","593","D-II"
"232","St. Cloud St.","598","D-II"
"233","St. Edward's","1334","D-II"
"234","St. Mary's (TX)","1346","D-II"
"235","St. Thomas Aquinas","1348","D-II"
"236","Stanislaus St.","103","D-II"
"237","Staten Island","675","D-II"
"238","Tampa","689","D-II"
"239","Tex. A&M Int'l","30090","D-II"
"240","Tex. A&M-Kingsville","696","D-II"
"241","Tex. Permian Basin","30088","D-II"
"242","Texas Woman's","701","D-II"
"243","Thomas More","1402","D-II"
"244","Tiffin","1403","D-II"
"245","Trevecca Nazarene","30002","D-II"
"246","Truman St.","499","D-II"
"247","Tusculum","12830","D-II"
"248","Tuskegee","720","D-II"
"249","UC-Colo. Springs","9754","D-II"
"250","UIndy","309","D-II"
"251","UNC Pembroke","537","D-II"
"252","USC Aiken","11276","D-II"
"253","USC Beaufort","30259","D-II"
"254","UT Tyler","30028","D-II"
"255","UVA Wise","30181","D-II"
"256","Union (TN)","30153","D-II"
"257","Upper Iowa","728","D-II"
"258","Ursuline","30140","D-II"
"259","Valdosta St.","734","D-II"
"260","Vanguard","30263","D-II"
"261","Virginia St.","743","D-II"
"262","Virginia Union","744","D-II"
"263","Walsh","30141","D-II"
"264","Washburn","2814","D-II"
"265","Wayne St. (MI)","757","D-II"
"266","Wayne St. (NE)","1433","D-II"
"267","West Ala.","358","D-II"
"268","West Chester","765","D-II"
"269","West Florida","11740","D-II"
"270","West Ga.","766","D-II"
"271","West Liberty","1438","D-II"
"272","West Tex. A&M","767","D-II"
"273","West Va. Wesleyan","9630","D-II"
"274","West Virginia St.","1439","D-II"
"275","Western N.M.","1445","D-II"
"276","Western Ore.","1446","D-II"
"277","Western Wash.","1448","D-II"
"278","Wheeling","12799","D-II"
"279","William Jewell","30120","D-II"
"280","Wilmington (DE)","1460","D-II"
"281","Wingate","1462","D-II"
"282","Winona St.","790","D-II"
"283","Winston-Salem","791","D-II"
"284","Wis.-Parkside","799","D-II"
"285","Young Harris","30154","D-II"
