"","season","team_name","division","conference","record","win_perc","team_id","coach_id"
"11780","2004","King's (PA)","D-III","MAC Freedom","39-10-0","0.796","336",903
"11781","2004","Tusculum","D-II","SAC","29-18-0","0.617","12830",1874
"11782","2004","MIT","D-III","NEWMAC","3-23-1","0.115","398",1943
"11783","2004","NC State","D-I","ACC","32-27-0","0.542","490",630
"11784","2004","Colorado Col.","D-III","-","5-20-0","0.200","154",2027
"11785","2004","Salve Regina","D-III","CCC","22-19-1","0.537","623",1717
"11786","2004","Eastern Ill.","D-I","OVC","21-35-0","0.375","201",115
"11787","2004","UNLV","D-I","Mountain West","25-35-0","0.417","465",2223
"11788","2004","Western Wash.","D-II","Great Northwest","22-23-0","0.489","1448",2004
"11789","2004","Elmhurst","D-III","CCIW","15-22-1","0.405","212",1227
"11790","2004","St. Olaf","D-III","MIAC","7-26-0","0.212","615",1073
"11791","2004","Western New Eng.","D-III","Great Northeast","33-11-0","0.750","775",1354
"11792","2004","Minnesota St.","D-II","NCC","27-28-0","0.491","383",205
"11793","2004","Cornell College","D-III","American Rivers","6-33-0","0.154","166",1247
"11794","2004","Wooster","D-III","NCAC","16-19-0","0.457","807",1762
"11795","2004","Fredonia","D-III","SUNYAC","26-15-0","0.634","242",1139
"11796","2004","Westfield St.","D-III","MASCAC","11-19-1","0.367","777",1609
"11797","2004","Georgia","D-I","SEC","55-17-0","0.764","257",1164
"11798","2004","Post","D-II","CACC","27-18-1","0.600","1318",2193
"11799","2004","Worcester St.","D-III","MASCAC","16-16-0","0.500","809",94
"11800","2004","St. Catherine","D-III","MIAC","9-26-0","0.257","597",1195
"11801","2004","N.C. A&T","D-I","MEAC","19-40-0","0.322","488",1037
"11802","2004","Central Conn. St.","D-I","NEC","9-41-0","0.180","127",1562
"11803","2004","Ohio Dominican","","-","30-20-0","0.600","30119",1167
"11804","2004","Coppin St.","D-I","MEAC","18-23-0","0.439","165",1911
"11805","2004","Santa Clara","D-I","Pacific Coast Softball","30-23-0","0.566","631",1719
"11806","2004","Oklahoma St.","D-I","Big 12","27-28-0","0.491","521",1966
"11807","2004","Buena Vista","D-III","American Rivers","13-23-0","0.361","84",98
"11808","2004","Kean","D-III","NJAC","14-22-0","0.389","329",1678
"11809","2004","Salisbury","D-III","C2C","41-8-0","0.837","622",1316
"11810","2004","Fresno St.","D-I","WAC","48-20-0","0.706","96",83
"11811","2004","Central Mich.","D-I","MAC","32-19-0","0.627","129",78
"11812","2004","Villanova","D-I","AAC","32-26-0","0.552","739",227
"11813","2004","Rhode Island Col.","D-III","Little East","21-15-1","0.583","571",1059
"11814","2004","Rosemont","D-III","CSAC","10-17-0","0.370","15882",1580
"11815","2004","Buffalo","D-I","MAC","25-23-0","0.521","86",1633
"11816","2004","Ouachita Baptist","D-II","Gulf South","14-37-0","0.275","1289",1969
"11817","2004","Eastern","D-III","CSAC","15-16-0","0.484","8968",2033
"11818","2004","Winthrop","D-I","Big South","42-24-1","0.636","792",514
"11819","2004","Albertus Magnus","D-III","Great Northeast","6-18-0","0.250","2798",972
"11820","2004","Pitt.-Greensburg","D-III","AMCC","2-12-0","0.143","11839",2191
"11821","2004","Centenary (LA)","D-I","Summit League","36-28-0","0.562","125",1795
"11822","2004","Johnson C. Smith","D-II","CIAA","12-21-0","0.364","323",1932
"11823","2004","Colo. Sch. of Mines","D-II","RMAC","22-23-0","0.489","155",1777
"11824","2004","Endicott","D-III","CCC","29-10-1","0.744","8981",1006
"11825","2004","UAB","D-I","C-USA","20-36-0","0.357","9",1743
"11826","2004","Manchester","D-III","HCAC","14-22-0","0.389","1192",784
"11827","2004","Houston Christian","","-","48-9-0","0.842","287",668
"11828","2004","Syracuse","D-I","AAC","25-29-0","0.463","688",1734
"11829","2004","CMSV","D-III","Skyline","12-24-0","0.333","451",2122
"11830","2004","Goldey-Beacom","D-II","CACC","16-23-0","0.410","8366",2047
"11831","2004","Brandeis","D-III","UAA","13-21-0","0.382","73",21
"11832","2004","Colorado St.","D-I","Mountain West","40-14-0","0.741","156",411
"11833","2004","Dickinson","D-III","Centennial","12-20-0","0.375","185",1915
"11834","2004","Princeton","D-I","Ivy League","24-23-0","0.511","554",1839
"11835","2004","Beloit","D-III","MWC","16-12-0","0.571","53",2112
"11836","2004","Mass. Maritime","D-III","MASCAC","2-20-0","0.091","399",1693
"11837","2004","Stony Brook","D-I","America East","30-33-0","0.476","683",274
"11838","2004","Saint Mary's (CA)","D-I","Pacific Coast Softball","13-43-0","0.232","610",2203
"11839","2004","Troy","D-I","ASUN","35-30-0","0.538","716",955
"11840","2004","Carroll (WI)","D-III","MWC","8-24-0","0.250","120",2124
"11841","2004","Illinois St.","D-I","MVC","33-19-1","0.635","299",51
"11842","2004","Texas Lutheran","D-III","ASC","29-11-1","0.725","1400",1868
"11843","2004","Wheeling","D-II","WVIAC","29-22-0","0.569","12799",2007
"11844","2004","UNCW","D-I","CAA","19-38-0","0.333","460",608
"11845","2004","San Diego","D-I","Pacific Coast Softball","18-32-0","0.360","627",1984
"11846","2004","Marist","D-I","MAAC","11-43-0","0.204","386",1946
"11847","2004","Augusta","D-II","Peach Belt","15-37-0","0.288","39",1486
"11848","2004","St. John's (NY)","D-I","AAC","28-26-0","0.519","603",729
"11849","2004","Chowan","D-III","USA South","27-16-0","0.628","8875",1776
"11850","2004","Maine Maritime","D-III","North Atlantic","3-29-2","0.094","378",1944
"11851","2004","Louisiana","D-I","Sun Belt","60-8-0","0.882","671",2059
"11852","2004","Merrimack","D-II","NE10","35-18-0","0.660","410",790
"11853","2004","Wingate","D-II","SAC","31-16-0","0.660","1462",1357
"11854","2004","Fitchburg St.","D-III","MASCAC","19-15-0","0.559","227",1790
"11855","2004","Toledo","D-I","MAC","21-34-0","0.382","709",854
"11856","2004","Rollins","D-II","Sunshine State","42-16-0","0.724","584",1174
"11857","2004","Nevada","D-I","WAC","38-28-0","0.576","466",2075
"11858","2004","Cal St. Fullerton","D-I","Big West","18-34-0","0.346","97",1636
"11859","2004","Saint Francis (PA)","D-I","NEC","8-33-0","0.195","600",1980
"11860","2004","Shenandoah","D-III","USA South","10-23-0","0.303","637",2209
"11861","2004","Dominican (IL)","D-III","NIIC","11-29-1","0.275","1332",2134
"11862","2004","Pittsburgh","D-I","AAC","21-36-0","0.368","545",1434
"11863","2004","Grove City","D-III","PAC","14-9-0","0.609","265",1532
"11864","2004","Holy Family","D-II","CACC","25-22-0","0.532","1126",2150
"11865","2004","North Georgia","","-","48-13-0","0.787","30052",1826
"11866","2004","Gettysburg","D-III","Centennial","22-13-0","0.629","258",463
"11867","2004","Aurora","D-III","NIIC","29-11-1","0.725","42",2110
"11868","2004","Canisius","D-I","MAAC","23-30-0","0.434","116",77
"11869","2004","Simon Fraser","","-","36-4-0","0.900","30127",1067
"11870","2004","California Baptist","","-","45-15-0","0.750","30135",1490
"11871","2004","St. Bonaventure","D-I","Atlantic 10","12-24-0","0.333","596",1330
"11872","2004","Oakland","D-I","Summit League","11-42-0","0.208","514",2185
"11873","2004","Alcorn","D-I","SWAC","13-23-0","0.361","17",1893
"11874","2004","Malone","","-","8-25-0","0.242","30137",2063
"11875","2004","A&M-Corpus Christi","D-I","Big South","39-21-0","0.650","26172",2013
"11876","2004","Heidelberg","D-III","OAC","3-33-0","0.083","278",1800
"11877","2004","Adrian","D-III","Michigan Intercol. Ath. Assn.","9-21-0","0.300","4",1481
"11878","2004","Utah","D-I","Mountain West","23-33-0","0.411","732",1347
"11879","2004","Saint Joseph's","D-I","Atlantic 10","21-29-0","0.420","606",1981
"11880","2004","Capital","D-III","OAC","23-17-0","0.575","117",1499
"11881","2004","Catawba","D-II","SAC","28-29-0","0.491","1001",452
"11882","2004","Florida Tech","D-II","Sunshine State","29-18-1","0.617","230",1010
"11883","2004","Southern U.","D-I","SWAC","27-18-0","0.600","665",1328
"11884","2004","Hanover","D-III","HCAC","9-21-0","0.300","1115",1929
"11885","2004","Clarion","D-II","PSAC","17-13-0","0.567","143",1165
"11886","2004","Ga. Southern","D-I","SoCon","30-29-0","0.508","253",1926
"11887","2004","Central Ark.","D-II","Gulf South","17-27-0","0.386","1004",1114
"11888","2004","Rhodes","D-III","SCAC","7-19-0","0.269","573",2081
"11889","2004","St. Francis Brooklyn","D-I","NEC","2-44-1","0.043","599",1726
"11890","2004","Mo.-St. Louis","D-II","GLVC","27-27-0","0.500","436",2071
"11891","2004","Saint Mary's (MN)","D-III","MIAC","23-15-0","0.605","612",1854
"11892","2004","La Roche","D-III","AMCC","9-14-0","0.391","1163",1273
"11893","2004","Kentucky St.","D-II","SIAC","27-8-0","0.771","332",1145
"11894","2004","Fort Lewis","D-II","RMAC","11-26-0","0.297","1083",1661
"11895","2004","Vermont","D-I","America East","9-34-2","0.209","738",278
"11896","2004","Okla. Baptist","","-","9-35-0","0.205","30202",927
"11897","2004","Western Ore.","D-II","Great Northwest","18-28-0","0.391","1446",1054
"11898","2004","Brown","D-I","Ivy League","19-20-0","0.487","80",1468
"11899","2004","Rutgers","D-I","AAC","25-29-1","0.463","587",92
"11900","2004","Concord","D-II","WVIAC","13-25-0","0.342","1028",994
"11901","2004","John Jay","D-III","CUNYAC","14-15-0","0.483","321",670
