"","team","player_id","season","player","ip","ha","bb","hb","so","hr_a","era","opp_avg","whip","fip"
"8664","Total",44488,"","Brooklin Lee",535.1,448,210,46,587,28,2.432,0.211,1.315,2.321
"8665","Total",44493,"","Carolyn Lee",387,448,163,35,275,45,4.491,0.27,1.669,4.027
"8666","Total",44495,"","Cassandra Lee",249.2,224,129,30,212,1,2.725,0.217,1.534,2.666
"8667","Total",44515,"","Jadyn Lee",23,57,10,3,13,6,11.463,0.408,3.043,6.292
"8668","Total",44517,"","Jana Lee",321.1,393,92,27,219,24,4.028,0.28,1.593,3.119
"8669","Total",44524,"","Kaitlin Lee",426.2,397,74,45,200,20,2.099,0.235,1.209,2.908
"8670","Total",44525,"","Kameron Lee",6.1,10,2,1,2,1,3.387,0.312,2.053,5.303
"8671","Total",44526,"","Karsin Lee",1.1,3,2,2,2,1,9.545,0.375,5.25,17.855
"8672","Total",44530,"","Katie Lee",101,180,31,12,41,12,5.545,0.354,2.208,4.41
"8673","Total",44536,"","Kelly Lee",116.1,468,211,21,24,21,23.738,0.604,6.017,10.327
"8674","Total",44538,"","Kendra Lee",25.2,24,10,5,7,1,2.724,0.222,1.519,4.112
"8675","Total",44540,"","Kourtney Lee",24.2,49,4,2,5,2,8.318,0.368,2.23,3.793
"8676","Total",44542,"","Lakaylin Lee",64.2,110,42,4,32,7,6.722,0.344,2.412,4.956
"8677","Total",44546,"","Lindsey Lee",1,3,2,0,2,1,19.091,0.375,5,16.036
"8678","Total",44549,"","Maddelynn Lee",39,58,21,2,20,7,6.134,0.32,2.077,5.493
"8679","Total",44553,"","Madi Lee",122.1,120,75,11,105,5,2.98,0.234,1.684,3.324
"8680","Total",44561,"","Megan Lee",154.1,208,72,22,91,45,5.54,0.295,1.957,6.845
"8681","Total",44568,"","Peyton Lee",12.1,18,7,1,5,1,4.59,0.321,2.108,4.613
"8682","Total",44571,"","Raelynn Lee",2,11,2,3,1,1,40,0.647,8,14.781
"8683","Total",44574,"","Regan Lee",115.2,116,70,21,67,12,3.505,0.241,1.79,4.948
"8684","Total",44580,"","Sadie Lee",48,64,7,2,10,4,2.644,0.299,1.521,3.639
"8685","Total",44602,"","Bri Leeds",3,3,4,0,1,0,9.333,0.231,2.333,5.733
"8686","Total",44603,"","Lindsey Leeds",82.1,108,23,12,42,4,3.912,0.283,1.737,3.287
"8687","Total",44605,"","Bri Leegwater",140.1,125,47,24,87,4,2.797,0.219,1.397,3.05
"8688","Total",44610,"","Abby Leer",31.1,53,20,4,21,3,6.282,0.344,2.457,4.612
"8689","Total",44611,"","Jacelyn Lees",42,25,5,0,35,0,0.166,0.16,0.714,1.094
"8690","Total",44613,"","Kallen Leeseberg",206.2,167,141,18,207,27,3.32,0.205,1.577,4.403
"8691","Total",44614,"","Balee Leeser",34.2,61,29,0,8,3,7.352,0.344,2.596,5.602
"8692","Total",44615,"","Sydnee Leeser",5,5,5,1,4,0,4.2,0.278,2.2,4.4
"8693","Total",44616,"","Olivia Leet",82.2,122,26,7,70,12,6.279,0.323,1.875,3.794
"8694","Total",44644,"","Brook Leger",323.2,342,158,28,311,36,3.677,0.251,1.631,3.648
"8695","Total",44646,"","Hailee Leger",301.2,310,51,5,194,6,1.949,0.241,1.213,1.929
"8696","Total",44655,"","Eliza Legge",35,47,13,8,20,0,5.817,0.307,1.943,3.059
"8697","Total",44662,"","Ashley Legler",58.2,80,26,11,38,7,5.055,0.299,1.994,4.845
"8698","Total",44665,"","Tayla Legrand",3,7,0,0,0,0,7,0.438,2.333,2.4
"8699","Total",44668,"","Caitlin LeGreca",23.1,56,8,4,6,0,8.412,0.418,2.914,3.43
"8700","Total",44671,"","Rosa Leguria",187,287,34,8,33,17,4.349,0.317,1.759,3.904
"8701","Total",44673,"","Michelle Lehan",70.1,52,91,14,67,5,5.014,0.183,2.232,5.916
"8702","Total",44674,"","Emily Lehane",8,11,4,0,4,0,3.457,0.297,1.875,2.894
"8703","Total",44675,"","Addison Lehew",35.2,51,36,6,22,1,7.91,0.303,2.607,5.072
"8704","Total",44680,"","Evie Lehman",43.2,58,22,2,31,2,3.844,0.307,1.878,3.224
"8705","Total",44683,"","Kylee Lehman",137.1,204,118,30,70,8,6.823,0.325,2.563,5.368
"8706","Total",44685,"","Paris Lehman",221,313,76,19,85,26,5.362,0.307,1.846,4.456
"8707","Total",44686,"","Sarah Lehman",395,331,179,29,330,45,3.104,0.215,1.365,3.791
"8708","Total",44688,"","Claire Lehmkuhler",460.1,560,201,35,277,42,4.413,0.276,1.729,3.922
"8709","Total",44689,"","Kennedy Lehn",378.1,272,150,34,464,15,1.425,0.186,1.205,1.921
"8710","Total",44690,"","Kendal Lehnen",68.1,90,41,3,40,2,4.829,0.283,1.961,3.546
"8711","Total",44696,"","Grace Lehto",616.2,657,205,46,574,80,3.761,0.255,1.472,3.447
"8712","Total",44701,"","Alexis Leibowitz",111.2,384,103,71,63,8,16.776,0.498,4.997,6.887
"8713","Total",44703,"","Ashley Leicht",2,4,0,0,0,0,3.5,0.364,2,2.4
"8714","Total",44708,"","Anna Leidner",1,2,0,0,1,0,7,0.4,2,0.4
"8715","Total",44712,"","Hannah Leierer",157.2,159,85,8,78,8,3.11,0.251,1.598,3.84
"8716","Total",44731,"","Morgan Leinstock",616.1,582,206,42,583,31,2.512,0.234,1.347,2.369
"8717","Total",44738,"","Trysten Leisman",48.2,69,38,6,22,2,5.473,0.321,2.322,4.746
"8718","Total",44740,"","Hailey Leister",322.1,286,71,25,247,11,2.004,0.221,1.185,2.205
"8719","Total",44745,"","Amara Leith",181.1,264,75,5,58,15,5.534,0.319,1.897,4.164
"8720","Total",44747,"","Paige Leithead",126.1,170,38,7,58,16,4.264,0.287,1.702,4.196
"8721","Total",44752,"","Kendal Leitner",30.1,59,35,1,28,3,8.14,0.386,3.132,5.423
"8722","Total",44753,"","Mallory Leitner",78.2,128,38,8,41,3,5.885,0.327,2.212,3.616
"8723","Total",44755,"","Molly Leitner",94,141,97,8,30,7,6.405,0.313,2.617,6.085
"8724","Total",44760,"","Sophia Leiva",1,1,0,1,0,1,7,0.25,2,18.4
"8725","Total",44761,"","Sophia Leiva guerra",19.2,35,19,4,2,4,11.371,0.35,2.949,8.339
"8726","Total",44766,"","Abbey Lejong",1,1,1,0,1,0,0,0.25,2,3.4
"8727","Total",44776,"","Haleigh Lematta",6.1,10,8,0,1,1,11.111,0.303,2.842,7.956
"8728","Total",44778,"","Becca LeMay",2.1,4,6,0,2,0,21.304,0.286,4.286,8.487
"8729","Total",44791,"","Amanda Lemire",42.2,111,35,4,13,7,11.502,0.462,3.516,6.672
"8730","Total",44792,"","Payton Lemire",390.2,449,270,28,245,12,4.108,0.265,1.912,3.835
"8731","Total",44793,"","Hannah Lemke",23.1,48,11,0,4,3,10.171,0.387,2.529,5.135
"8732","Total",44799,"","Emma Lemley",562.1,439,169,28,771,73,2.864,0.202,1.131,2.396
"8733","Total",44801,"","Kendall Lemley",102,103,33,7,54,3,2.881,0.241,1.402,2.9
"8734","Total",44808,"","Faith Lemonds",23,24,27,6,20,0,4.545,0.238,2.478,4.954
"8735","Total",44813,"","Annie Lemos",110,161,73,9,52,20,6.467,0.307,2.209,6.041
"8736","Total",44822,"","Kalet Lenart",72,87,16,6,46,6,3.403,0.269,1.514,3.122
"8737","Total",44824,"","Emma Lenczewski",18,36,10,1,11,2,8.167,0.409,2.611,4.456
"8738","Total",44825,"","Maggie Lenda",221,246,80,26,174,9,3.452,0.263,1.593,2.794
"8739","Total",44827,"","Haley Lenderman",269.2,274,118,18,159,17,3.273,0.244,1.52,3.554
"8740","Total",44837,"","Ashley Lenington",2,0,0,0,2,0,0,0,0,0.4
"8741","Total",44846,"","Anna Lennox",2.1,3,1,1,1,0,0,0.273,2.143,4.218
"8742","Total",44853,"","Ashley Lenser",285,284,49,6,185,9,2.358,0.234,1.189,2.092
"8743","Total",44862,"","Janet Lentini",21.1,33,23,3,11,0,6.274,0.333,2.766,5.042
"8744","Total",44867,"","Madison Lentz",9,8,5,0,3,0,1.556,0.216,1.444,3.4
"8745","Total",44868,"","Katie Lenz",106.2,271,28,2,40,19,10.05,0.425,2.822,4.811
"8746","Total",44874,"","Kyra Lenzi",157.2,177,50,11,79,8,2.62,0.259,1.51,3.219
"8747","Total",44886,"","Gabby Leon",1,3,2,0,0,0,6.364,0.375,5,7.855
"8748","Total",44895,"","Camila Leon-Blanco",33.2,28,8,3,27,1,1.454,0.214,1.158,2.163
"8749","Total",44900,"","Dezirae Leonard",179.1,317,97,9,48,36,7.272,0.356,2.359,6.254
"8750","Total",44904,"","Emilee Leonard",253,240,146,11,138,15,2.575,0.237,1.569,3.943
"8751","Total",44908,"","Erin Leonard",2.2,8,8,4,5,1,33.806,0.438,7.5,20.411
"8752","Total",44911,"","Jordan Leonard",139,252,173,31,35,5,10.546,0.36,3.281,6.776
"8753","Total",44912,"","Kaprice Leonard",13,19,17,7,9,7,12.304,0.288,3.308,13.482
"8754","Total",44914,"","Kyra Leonard",15,28,15,1,4,0,8.748,0.331,2.933,5.032
"8755","Total",44918,"","Mack Leonard",239,227,149,18,189,15,3.407,0.227,1.649,3.735
"8756","Total",44925,"","Rebecca Leonard",25.2,23,24,5,18,4,4.375,0.219,2.026,6.423
"8757","Total",44927,"","Sabrina Leonard",8.1,17,13,0,2,0,9.167,0.362,3.6,6.567
"8758","Total",44928,"","Sadie Leonard",215,111,74,5,368,1,0.912,0.141,0.884,0.137
"8759","Total",44930,"","Savannah Leonard",164.2,261,27,3,65,2,4.381,0.328,1.767,2.315
"8760","Total",44931,"","Shawna Leonard",161.2,138,45,3,161,5,2.034,0.209,1.151,1.702
"8761","Total",44938,"","Abigail Leonards",274.1,366,42,24,140,28,3.776,0.3,1.575,3.428
"8762","Total",44942,"","Cara Leone",193.1,271,63,37,66,11,4.851,0.307,1.919,4.009
"8763","Total",44943,"","Danyelle Leone",64,88,15,4,24,11,4.81,0.293,1.672,4.762
"8764","Total",44953,"","Jennifer Leonhardt",794.2,585,220,51,870,62,2,0.193,1.077,2.247
"8765","Total",44956,"","Riley Leonhardt",113.2,130,57,7,37,8,3.143,0.28,1.707,4.354
"8766","Total",44960,"","Mary Leopold",54,64,12,1,18,3,2.074,0.258,1.426,3.178
"8767","Total",44965,"","Savannah LePain",3,2,3,0,2,0,0,0.182,1.667,4.067
"8768","Total",44971,"","Hannah Leppek",24.2,39,11,1,8,4,6.235,0.307,2.068,5.315
"8769","Total",44977,"","Chrisi Lerchen",56.2,86,32,1,13,3,5.713,0.319,2.1,4.388
"8770","Total",44978,"","Emma Lerchen",17.1,19,9,5,8,1,3.257,0.287,1.904,4.67
"8771","Total",44989,"","Hannah Leroux",48.1,74,38,4,17,0,5.362,0.329,2.4,4.305
"8772","Total",44994,"","Ashley Lesch",51.1,46,21,1,20,1,1.914,0.223,1.325,3.162
"8773","Total",44997,"","Paige Leschber",177,199,121,20,111,23,4.398,0.266,1.921,5.229
"8774","Total",44998,"","Emily Lesco",1.1,2,1,0,0,0,0,0.3,2.25,4.65
"8775","Total",45001,"","Paige Lesher",142.2,147,23,4,53,1,1.769,0.243,1.22,2.315
"8776","Total",45005,"","Haisley Leskinen",9.1,14,8,4,0,3,7.447,0.311,2.786,10.379
"8777","Total",45012,"","Gracie Leslie",47,59,23,10,24,3,4.019,0.278,1.957,4.312
"8778","Total",45013,"","Hailey Leslie",10.1,16,9,1,4,0,6.731,0.314,2.516,4.515
"8779","Total",45024,"","Sydney Lessentine",39.1,23,13,3,55,4,2.5,0.162,0.992,2.145
"8780","Total",45028,"","Olivia Lessmann",46,94,30,10,18,10,8.689,0.361,2.913,7.063
"8781","Total",45029,"","Alexis Lester",75.1,125,26,6,19,5,4.488,0.335,2.084,4.04
"8782","Total",45031,"","Ava Lester",13.2,16,19,7,15,1,5.109,0.262,3.073,6.853
"8783","Total",45038,"","Kennedy Lester",141,135,74,5,82,5,2.382,0.235,1.518,3.378
"8784","Total",45040,"","Maddie Lester",24.1,25,16,3,11,0,3.732,0.24,1.808,3.836
"8785","Total",45041,"","Madison Lester",20,27,11,1,9,1,5.276,0.287,1.95,3.958
"8786","Total",45046,"","Lindsay Lesueur",193,330,128,13,141,17,9.288,0.336,2.44,4.276
"8787","Total",45050,"","Maddie Letendre",6,15,4,3,7,1,14.483,0.375,3.667,5.848
"8788","Total",45054,"","Madison Letizia",5,10,3,0,2,0,11.2,0.37,2.6,3.4
"8789","Total",45057,"","Ryan Leto",12.1,19,7,1,5,0,3.443,0.333,2.189,3.548
"8790","Total",45070,"","Sadie Levandowski",3,5,0,1,1,0,2.333,0.333,2,2.733
"8791","Total",45072,"","Emily Levario",47.1,80,18,3,18,5,5.314,0.336,2.134,4.339
"8792","Total",45073,"","Izzy Levasse",16.1,16,3,0,16,0,2.134,0.225,1.163,0.998
"8793","Total",45075,"","Mackenzie Leveille",131,224,73,12,55,6,6.782,0.341,2.359,4.102
"8794","Total",45077,"","Lauren Levendoski",25,31,11,1,33,6,7.621,0.279,1.72,4.335
"8795","Total",45078,"","Libby Levendoski",15,18,11,0,10,2,5.676,0.261,1.933,5.035
"8796","Total",45084,"","Chloe Leverington",255.2,273,39,8,231,21,2.743,0.251,1.252,2.211
"8797","Total",45086,"","Jennica Levermann",45.1,71,23,6,20,1,4.801,0.316,2.206,3.727
"8798","Total",45087,"","Kaelyn Leverson",56.2,72,39,1,20,7,4.604,0.28,1.976,5.425
"8799","Total",45091,"","Hailey Levesque",49,84,28,2,16,3,6.155,0.356,2.327,4.384
"8800","Total",45100,"","Brooklyn Levin",22.1,53,8,0,13,2,9.731,0.424,2.731,3.476
"8801","Total",45102,"","Aubrie Levine",35.1,59,41,2,18,11,9.744,0.331,2.887,9.105
"8802","Total",45109,"","Malerie Leviner",381,432,166,31,310,32,3.786,0.268,1.651,3.415
"8803","Total",45114,"","Temma Levis",356.2,381,73,22,196,10,2.573,0.256,1.335,2.465
"8804","Total",45127,"","Katie Lew",301.2,494,172,23,130,35,6.662,0.342,2.284,4.987
"8805","Total",45144,"","Britney Lewinski",103.2,83,45,7,76,5,2.974,0.205,1.302,3.065
"8806","Total",45145,"","Marissa Lewinski",2,4,1,0,2,0,3.333,0.333,2.5,1.924
"8807","Total",45152,"","Alexa Lewis",31.2,40,31,5,23,3,5.095,0.29,2.4,5.596
"8808","Total",45158,"","Ashley Lewis",131.2,163,34,11,121,1,3.727,0.26,1.58,1.686
"8809","Total",45170,"","Caitlin Lewis",61.1,101,41,6,25,11,7.321,0.332,2.413,6.213
"8810","Total",45173,"","Cassidy Lewis",81.2,110,14,6,21,1,2.827,0.294,1.592,2.779
"8811","Total",45175,"","Chloe Lewis",129.2,163,88,17,51,10,4.973,0.284,2.067,5.049
"8812","Total",45180,"","Deyonce Lewis",141.1,215,22,5,47,11,5.164,0.321,1.712,3.321
"8813","Total",45184,"","Emily Lewis",1,2,0,0,0,0,7,0.4,2,2.4
"8814","Total",45188,"","Ginger Lewis",451,394,117,16,441,22,2.219,0.22,1.169,1.963
"8815","Total",45192,"","Hayley Lewis",52.1,85,39,6,22,0,6.946,0.312,2.484,4.136
"8816","Total",45200,"","Jade Lewis",88.2,144,19,4,31,8,5.598,0.34,1.883,3.65
"8817","Total",45201,"","Jasmin Lewis",8,27,20,4,1,1,21.875,0.551,6.375,12.775
"8818","Total",45203,"","Jenna Lewis",198.2,184,55,28,179,9,2.218,0.233,1.344,2.441
"8819","Total",45205,"","Jessell Lewis",110.1,122,36,5,35,3,2.792,0.26,1.477,3.234
"8820","Total",45210,"","Julie Lewis",40.2,47,52,9,21,6,5.184,0.258,2.656,7.807
"8821","Total",45215,"","Kaylie Lewis",30.2,47,22,6,10,1,4.82,0.338,2.446,4.925
"8822","Total",45219,"","Kendra Lewis",32.2,53,9,3,23,6,5.368,0.338,1.99,4.486
"8823","Total",45222,"","Kynnydy Lewis",18,49,10,5,3,1,9.438,0.43,3.556,5.321
"8824","Total",45232,"","Madi Lewis",45.2,83,32,2,15,6,8.311,0.34,2.562,5.697
"8825","Total",45242,"","Myia Lewis",4,10,2,2,3,2,12.25,0.455,3.5,10.4
"8826","Total",45248,"","Nicole Lewis",114.1,139,34,16,71,13,3.68,0.277,1.653,3.946
"8827","Total",45249,"","Olivia Lewis",122.2,208,60,8,65,14,6.856,0.352,2.25,4.489
"8828","Total",45259,"","Sadie Lewis",21,31,11,1,2,1,6.637,0.291,2.048,4.553
"8829","Total",45260,"","Sarah Lewis",275,367,65,36,187,17,4.156,0.293,1.702,2.947
"8830","Total",45262,"","Sidney Lewis",99.1,130,36,6,56,1,3.732,0.295,1.732,2.672
"8831","Total",45267,"","Taylor Lewis",36.2,71,17,3,13,5,5.157,0.367,2.482,5.103
"8832","Total",45271,"","Lydia Lewis-hicks",30.1,75,5,1,14,14,11.126,0.419,2.67,8.095
"8833","Total",45273,"","Anna Lexenberger",4,11,2,0,0,0,10.244,0.458,3.25,3.863
"8834","Total",45278,"","Jenna Leydecker",26,36,4,0,10,1,3.258,0.293,1.538,2.596
"8835","Total",45281,"","Ellie Leyo",8.2,19,4,0,4,0,5.689,0.373,2.654,2.863
"8836","Total",45296,"","Jerzie Liana",3.1,5,5,1,3,0,6.176,0.278,3.3,5.929
"8837","Total",45302,"","Danielle Liberatore",131.1,136,68,5,159,16,3.628,0.26,1.591,3.231
"8838","Total",45306,"","Brynn Libler",3,7,7,0,0,1,13.548,0.438,4.667,13.368
"8839","Total",45320,"","Lauren Lichtenwalner",263,300,94,38,110,13,3.493,0.267,1.643,3.715
"8840","Total",45322,"","Sam Lichtner",166.2,189,78,6,86,9,3.069,0.27,1.638,3.583
"8841","Total",45325,"","Brayden Lickey",0.1,0,0,0,0,0,0,0,0,2.4
"8842","Total",45334,"","Georgia Lieb",34,46,24,1,28,4,6.399,0.291,2.088,4.493
"8843","Total",45340,"","Salem Liebenthal",59.2,60,55,7,64,5,4.815,0.238,2.045,4.464
"8844","Total",45341,"","Shannon Lieber",53.2,112,27,5,25,11,8.358,0.382,2.683,5.926
"8845","Total",45342,"","Amanda Lieberman",48.2,75,25,2,15,2,5.462,0.318,2.096,3.981
"8846","Total",45344,"","Abby Liebowitz",3.1,3,1,1,3,1,4.375,0.2,1.5,6.463
"8847","Total",45357,"","Trysten Liesman",0.1,3,0,1,0,1,140,0.6,12,82.4
"8848","Total",45360,"","Mikie Lieving",172.1,188,64,13,104,7,2.681,0.254,1.538,3.061
"8849","Total",45361,"","Erin Lifrieri",78,129,22,1,34,6,4.844,0.341,1.949,3.413
"8850","Total",45364,"","Kendall Liggett",1,4,2,1,0,0,42,0.571,7,11.4
"8851","Total",45366,"","Allie Light",318.2,318,69,24,242,26,2.483,0.241,1.29,2.818
"8852","Total",45367,"","Taylor Light",71.2,98,24,5,25,8,4.97,0.296,1.772,4.363
"8853","Total",45371,"","Kirsten Lightel",298.2,258,52,10,266,6,1.196,0.219,1.071,1.503
"8854","Total",45377,"","Carli Lightner",2.1,4,1,2,1,2,6.364,0.364,3,17.4
"8855","Total",45380,"","Rachel Lightner",22.1,23,8,0,25,1,2.523,0.256,1.388,1.814
"8856","Total",45384,"","Alyssa Liguori",11.2,14,13,4,10,1,3.652,0.259,2.657,6.226
"8857","Total",45387,"","Rachel Liguori",124.1,140,45,8,54,2,3.432,0.265,1.552,3.019
"8858","Total",45397,"","Emma Liles",31,63,7,2,6,2,6.119,0.375,2.323,3.733
"8859","Total",45398,"","Jenna Liles",33.2,61,16,4,7,2,6.024,0.355,2.406,4.536
"8860","Total",45407,"","Paige Lillie",0.1,1,3,0,1,0,70,0.25,12,37.4
"8861","Total",45411,"","Hannah Lilly",73.1,142,75,11,30,24,11.807,0.372,3.109,9.336
"8862","Total",45416,"","Riley Lim-ellis",0.1,1,3,0,0,0,0,0.5,12,47.4
"8863","Total",45417,"","Bella Lima",73,95,25,7,44,2,3.365,0.275,1.74,2.867
"8864","Total",45423,"","Journey Limardo",148.1,190,58,15,57,8,3.116,0.28,1.773,3.809
"8865","Total",45424,"","Skye Limardo",39.1,65,4,4,27,2,3.376,0.32,1.856,2.298
"8866","Total",45433,"","MaryJane Limon",19.2,26,9,0,7,1,2.154,0.295,1.78,3.733
"8867","Total",45433,"","Maryjane Limon",33,42,21,0,25,4,4.455,0.278,1.909,4.37
"8868","Total",45437,"","Carly Limosnero",100,134,63,22,31,14,5.972,0.292,2.19,6.164
"8869","Total",45450,"","Maddy Lincoln",392,535,128,53,232,27,4.346,0.297,1.827,3.499
"8870","Total",45451,"","Samantha Lincoln",47.2,43,15,4,37,5,3.229,0.226,1.301,3.406
"8871","Total",45452,"","Tyler Lincoln",30,73,24,18,7,5,15.116,0.44,3.833,8.28
"8872","Total",45455,"","Lauren Lindahl",32.1,52,21,1,14,1,5.396,0.331,2.289,3.97
"8873","Total",45457,"","Bailey Lindamood",84,103,20,4,24,3,2.503,0.281,1.512,3.151
"8874","Total",45459,"","Kayla Lindberg",224,242,58,9,150,10,2.628,0.256,1.379,2.539
"8875","Total",45461,"","Hosanna Lindblade",2,2,1,0,2,0,0,0.222,1.5,1.9
"8876","Total",45462,"","Anya Lindell paulson",2,2,1,2,1,0,10.5,0.25,2.5,5.9
"8877","Total",45464,"","Addison Lindemann",81,111,52,10,53,8,4.661,0.307,2.136,4.669
"8878","Total",45469,"","Bailey Lindemuth",11,4,0,0,6,1,0.636,0.114,0.364,2.491
"8879","Total",45471,"","Olivia Linden",14,29,10,2,3,1,11,0.403,2.929,5.471
"8880","Total",45498,"","Gabriella Lindsay",43,58,14,1,30,3,4.079,0.289,1.698,2.959
"8881","Total",45505,"","Sam Lindsay",153.2,186,80,16,56,10,4.018,0.28,1.835,4.395
"8882","Total",45507,"","Taylor Lindsay",252.2,243,101,9,200,8,2.493,0.235,1.397,2.535
"8883","Total",45510,"","Ally Lindsey",27.1,35,21,2,13,3,6.474,0.274,2.122,5.434
"8884","Total",45511,"","Audreonna Lindsey",7,14,12,2,5,0,7.887,0.4,4,6.907
"8885","Total",45524,"","Krystal Lindsey",64,106,36,9,29,8,6.692,0.336,2.359,5.238
"8886","Total",45528,"","Madison Lindsey",53.2,53,56,7,37,1,3.007,0.232,2.161,4.789
"8887","Total",45530,"","Makayla Lindsey",103.1,137,77,17,46,16,5.826,0.296,2.235,6.253
"8888","Total",45537,"","Kenya Lindstrom",141.1,218,102,7,54,10,6.558,0.327,2.314,4.877
"8889","Total",45549,"","Katelyn Linford",206.1,192,32,7,194,22,2.512,0.234,1.12,2.473
"8890","Total",45553,"","Kylee Lingenfelter",344,347,133,33,303,38,3.423,0.237,1.491,3.524
"8891","Total",45554,"","Riley Lingerfelt",71.2,73,50,9,86,13,4.489,0.243,1.842,4.822
"8892","Total",45585,"","Camrynn Linneman",25.2,31,27,1,13,2,6.289,0.284,2.299,5.681
"8893","Total",45586,"","Brooklynn Linnemann",354,390,120,22,200,36,3.459,0.261,1.503,3.794
"8894","Total",45589,"","Shontel Linnette",175.2,193,49,6,178,11,3.628,0.25,1.412,2.126
"8895","Total",45597,"","Melanie Lint",220,272,117,15,79,20,4.079,0.275,1.836,4.668
"8896","Total",45599,"","Nikki Linthicum",136,166,63,4,90,17,4.434,0.274,1.713,4.183
"8897","Total",45600,"","Amber Linton",402.2,480,208,76,375,24,4.087,0.273,1.897,3.428
"8898","Total",45601,"","Andrea Linton",1.1,3,2,0,1,0,16.154,0.333,3.75,5.477
"8899","Total",45605,"","Haila Linton",79.2,127,32,6,41,8,5.371,0.335,2.071,4.111
"8900","Total",45608,"","Tiffani Linville",1,3,3,0,0,0,12.727,0.375,6,10.582
"8901","Total",45610,"","Brynn Lio",38.2,29,13,1,17,2,1.813,0.199,1.112,3.281
"8902","Total",45612,"","Alyssa Lionetti",49,61,16,3,18,3,3.006,0.27,1.633,3.624
"8903","Total",45616,"","Morgan Lipansky",134.1,146,69,16,78,19,4.545,0.261,1.72,4.982
"8904","Total",45625,"","Emily Lipinski",27,62,31,4,12,10,13.012,0.415,3.593,10.247
"8905","Total",45629,"","Abigail Lipkin",2,7,1,1,1,1,16.667,0.5,4.5,10.495
"8906","Total",45631,"","Allison Lipovsky",597,312,138,31,887,25,1.055,0.147,0.806,0.822
"8907","Total",45638,"","Morgan Lippert",34.1,74,63,30,14,0,15.641,0.382,4.864,9.778
"8908","Total",45639,"","Payton Lippert",384.1,409,172,54,239,34,3.355,0.253,1.652,4.072
"8909","Total",45647,"","Katelyn Lipsky",374.2,462,172,21,367,21,4.335,0.282,1.748,2.714
"8910","Total",45654,"","Lexi Liquori",39.2,35,18,5,48,1,3.005,0.215,1.462,2.046
"8911","Total",45657,"","Chelsea Liroff",160.1,246,69,18,77,27,5.821,0.315,2.077,5.265
"8912","Total",45659,"","Delaney Lis",135.1,157,30,7,65,7,3.366,0.262,1.433,2.934
"8913","Total",45660,"","Elizabeth Lis",146,254,42,8,55,10,5.994,0.349,2.082,3.564
"8914","Total",45668,"","Kinsey Liscio",303.1,407,172,39,188,47,5.107,0.304,2.037,5.265
"8915","Total",45670,"","Sophia Lishner",136.1,196,64,25,63,11,4.934,0.316,2.09,4.485
"8916","Total",45671,"","Allie Lisi",8,13,5,1,5,2,2.575,0.255,2.375,6.592
"8917","Total",45677,"","Cate Liskey",79,182,36,11,28,16,9.047,0.378,2.899,6.111
"8918","Total",45678,"","Sarah Lisko",361,576,100,40,122,46,4.852,0.329,1.983,4.546
"8919","Total",45679,"","Cameron Liso",16.2,28,5,2,9,2,4.242,0.346,2.1,4.158
"8920","Total",45682,"","Callope Lissak",33,77,14,3,14,8,10.213,0.404,2.848,6.26
"8921","Total",45684,"","Payton List",131,146,96,5,116,7,4.754,0.253,1.885,3.637
"8922","Total",45688,"","Kate Liston",32.1,53,20,3,11,1,5.421,0.324,2.351,4.258
"8923","Total",45689,"","Maddi Liston",264.2,315,111,11,148,19,3.756,0.272,1.651,3.598
"8924","Total",45690,"","Sabrina Liston",332,488,149,22,234,23,5.126,0.318,1.985,3.436
"8925","Total",45696,"","Meg Liter",21.2,26,8,1,17,0,3.581,0.292,1.615,2.074
"8926","Total",45700,"","Annika Litterio",58.1,77,52,11,45,16,6.395,0.289,2.4,7.691
"8927","Total",45705,"","Amilya Little",10.1,19,15,1,8,0,8.835,0.352,3.387,5.507
"8928","Total",45708,"","Blair Little",36.1,40,10,1,16,3,3.099,0.247,1.404,3.504
"8929","Total",45714,"","Daniella Little",258,307,94,33,204,21,3.86,0.273,1.682,3.356
"8930","Total",45723,"","Katelyn Little",15,21,14,0,7,0,5.099,0.284,2.333,4.254
"8931","Total",45724,"","Katlyn Little",77.1,79,40,3,36,3,4.088,0.249,1.578,3.646
"8932","Total",45726,"","Kendra Little",6.1,11,5,0,3,1,2.258,0.344,2.526,5.948
"8933","Total",45733,"","Mara Little",379.1,503,104,17,133,18,3.38,0.295,1.645,3.274
"8934","Total",45737,"","Rylee Little",32.2,42,20,4,20,4,5.169,0.28,2.02,4.985
"8935","Total",45746,"","Haley Littlefield",57.1,111,24,6,12,6,7.083,0.357,2.459,4.911
"8936","Total",45752,"","Sydney Littlejohn",170.1,127,36,10,187,10,1.356,0.195,1.016,1.778
"8937","Total",45758,"","Rory Littman",4.1,7,2,0,5,0,1.591,0.292,2.077,1.491
"8938","Total",45763,"","Elianna Litwin",5,8,1,1,3,0,5.6,0.381,2,2.4
"8939","Total",45764,"","Halie Litwin",77.1,180,42,14,21,15,9.711,0.402,3.052,6.558
"8940","Total",45768,"","Megan Litzenber",146,546,120,42,56,17,19.529,0.508,4.849,6.478
"8941","Total",45788,"","Tegan Livesay",91.2,98,44,5,59,8,3.901,0.251,1.604,3.853
"8942","Total",45789,"","Kira Livezey",5.2,6,7,0,4,1,6.372,0.23,2.294,7.218
