"","team_id","player_id","season","player","ip","ha","bb","hb","so","hr_a","era","opp_avg","whip","fip"
"2448",1226,69375,2023,"Autumn Theis",40.3,73,17,11,16,3,"5.990",0.36,2.469,"4.625"
"2449",9004,31341,2023,"Sam Hildebrant",40.3,49,12,0,11,2,"3.775",0.275,1.495,"3.380"
"2450",23008,70127,2023,"Sarah Todd",40.3,70,19,1,14,2,"6.348",0.357,2.206,"3.822"
"2451",30166,77353,2023,"Ronae Young",40.3,91,11,1,26,0,"7.892",0.404,2.525,"2.008"
"2452",64,70241,2023,"Jessica Tomson",40.2,86,16,2,14,5,"7.414",0.4,2.562,"4.641"
"2453",370,51534,2023,"Lindsey O'Dell",40.2,56,17,5,16,3,"3.268",0.286,1.916,"4.194"
"2454",473,7867,2023,"Emmalyn Brinka",40.2,75,25,2,24,9,"8.621",0.364,2.512,"6.095"
"2455",681,65571,2023,"Nicole Smith",40.2,55,19,0,19,1,"3.103",0.297,1.823,"3.188"
"2456",781,53954,2023,"Bella Peinado",40.2,44,11,2,11,3,"3.793",0.259,1.404,"3.779"
"2457",1157,38808,2023,"Lindsey Kyte",40.2,61,15,8,15,7,"6.207",0.328,2.069,"5.602"
"2458",9223,29528,2023,"Ali Hartin",40.2,64,16,7,28,4,"6.192",0.33,2.138,"3.997"
"2459",11538,22766,2023,"Sam Foppe",40.2,35,29,2,20,0,"2.759",0.211,1.626,"3.705"
"2460",30028,16325,2023,"Kaylee Davis",40.2,47,16,3,42,7,"3.111",0.261,1.63,"3.980"
"2461",71,67146,2023,"Sydney Stepp",40.1,74,28,4,24,6,"7.797",0.365,2.624,"5.519"
"2462",121,21440,2023,"Emma Faubel",40.1,60,11,1,19,7,"4.516",0.309,1.787,"4.608"
"2463",124,67407,2023,"Olivia Stinchcomb",40.1,36,15,3,28,4,"3.119",0.213,1.337,"3.638"
"2464",484,52610,2023,"Alyssa Ouellette",40.1,53,10,3,19,1,"3.985",0.286,1.634,"2.747"
"2465",635,38412,2023,"Kyra Kreuscher",40.1,43,18,3,31,2,"2.786",0.257,1.592,"3.072"
"2466",648,72064,2023,"Rachel Vaughan",40.1,42,8,2,26,2,"2.786",0.255,1.294,"2.500"
"2467",678,37488,2023,"Lauren Klein",40.1,55,12,3,28,8,"4.516",0.288,1.737,"4.708"
"2468",746,30590,2023,"Savanah Henley",40.1,53,12,1,40,6,"3.821",0.296,1.638,"3.318"
"2469",1001,4321,2023,"Savannah Beaver",40.1,54,14,22,13,6,"6.584",0.298,2.228,"6.360"
"2470",1289,33438,2023,"Hannah Hunter",40.1,54,24,5,10,5,"6.617",0.302,2.065,"5.684"
"2471",8486,69370,2023,"Meghan Theall",40.1,49,5,2,19,1,"2.960",0.278,1.393,"2.300"
"2472",8688,70589,2023,"Caitlin Traxler",40.1,61,33,11,23,2,"7.450",0.33,2.599,"5.172"
"2473",9754,60910,2023,"Mackenzie Rutkoff",40.1,65,24,6,26,14,"6.948",0.33,2.357,"7.859"
"2474",74,40930,2023,"Erin Lifrieri",40,69,12,1,17,2,"5.411",0.356,2.045,"3.173"
"2475",291,58494,2023,"Vanessa Richie",40,60,10,6,15,2,"4.539",0.321,1.895,"3.497"
"2476",451,19397,2023,"Serena Duran",40,37,12,5,28,2,"2.625",0.226,1.35,"2.925"
"2477",498,25392,2023,"Kassidy Giddens",40,44,19,2,19,5,"2.793",0.257,1.621,"4.644"
"2478",625,6513,2023,"Sara Bond",40,45,14,1,28,6,"3.675",0.257,1.5,"4.075"
"2479",1305,4379,2023,"Theresa Beck",40,71,19,2,16,3,"6.459",0.368,2.294,"4.146"
"2480",129,73269,2023,"Maddy Wallace",39.3,44,18,1,18,4,"3.333",0.263,1.579,"4.230"
"2481",137,59920,2023,"Delaney Romanchick",39.3,28,24,2,42,0,"2.990",0.174,1.357,"2.249"
"2482",371,34919,2023,"Bailey Johnson",39.3,50,17,3,9,4,"3.869",0.292,1.759,"4.762"
"2483",492,18525,2023,"Caroline Dooley",39.3,64,13,0,11,0,"4.561",0.344,1.93,"2.826"
"2484",2743,55798,2023,"Samantha Portillo",39.3,46,31,4,37,5,"5.980",0.271,2.035,"4.812"
"2485",30179,1518,2023,"Grace Anderson",39.3,45,24,3,27,4,"5.439",0.26,1.805,"4.380"
"2486",117,4134,2023,"Krislyn Bayles",39.2,66,6,2,10,3,"4.596",0.322,1.869,"3.486"
"2487",193,16148,2023,"Claire Davidson",39.2,40,4,8,25,6,"3.722",0.244,1.316,"4.020"
"2488",202,5310,2023,"Emma Bethel",39.2,48,46,2,16,4,"6.557",0.281,2.43,"6.552"
"2489",267,26827,2023,"Teagan Graham",39.2,55,28,6,19,2,"5.657",0.294,2.247,"4.673"
"2490",567,22773,2023,"Ally Forbell",39.2,53,10,8,14,0,"3.350",0.299,1.788,"3.055"
"2491",9012,1414,2023,"Kara Amos",39.2,43,16,3,31,5,"4.066",0.251,1.566,"3.915"
"2492",24317,61815,2023,"Sophia Santos",39.2,95,42,3,21,5,"12.374",0.413,3.535,"6.390"
"2493",76,9026,2023,"Tatiana Burcy",39.1,70,28,9,20,6,"7.303",0.329,2.723,"6.191"
"2494",80,22019,2023,"Annie Finch",39.1,60,13,4,20,12,"5.536",0.317,1.964,"6.660"
"2495",156,50058,2023,"Jetta Nannen",39.1,50,24,3,19,4,"5.700",0.281,1.959,"4.817"
"2496",177,42954,2023,"Riley Magoon",39.1,71,18,8,7,3,"5.878",0.37,2.468,"5.021"
"2497",281,61722,2023,"Angel Santellan",39.1,32,17,0,13,3,"2.321",0.209,1.25,"4.033"
"2498",537,74813,2023,"Abby White",39.1,74,27,6,8,3,"9.416",0.363,2.716,"5.496"
"2499",549,50603,2023,"Kailey Newkirk",39.1,26,6,3,16,2,"1.244",0.181,0.888,"2.933"
"2500",581,36868,2023,"Lauren Keys",39.1,39,10,4,21,3,"2.143",0.242,1.352,"3.395"
"2501",606,68034,2023,"Saige Stutz",39.1,64,33,7,19,3,"6.412",0.328,2.646,"5.479"
"2502",801,67260,2023,"Morgan Stevenson",39.1,44,17,9,16,2,"4.464",0.277,1.786,"4.237"
"2503",30111,37299,2023,"Mackenzie Kirby",39.1,76,16,2,15,3,"8.214",0.373,2.398,"4.007"
"2504",111,21223,2023,"Emma Falen",39,44,15,1,17,4,"3.043",0.267,1.535,"4.088"
"2505",149,16917,2023,"Iyanla DeJesus",39,36,30,12,33,0,"4.128",0.225,2,"3.938"
"2506",175,35398,2023,"Kallie Jones",39,47,20,2,30,2,"3.939",0.26,1.765,"3.218"
"2507",198,2195,2023,"Whitley Arnott",39,40,21,12,21,10,"4.834",0.26,1.867,"7.183"
