"","team","game_id","opponent","last","first","ip","ha","er","bb","hb","so","bf","hr_a","go","fo","season","team_id","player"
"86","Abilene Christian","4500276","Sam Houston","Schaefer","Elizabeth",0.2,1,1,3,0,0,6,0,2,0,2024,2,"Elizabeth Schaefer"
"87","Abilene Christian","4515524","Seattle U","Beeman","Ella",3.1,8,5,2,0,1,19,0,4,3,2024,2,"Ella Beeman"
"88","Abilene Christian","5283384","UT Arlington","Nielsen","Talia",1,2,3,0,1,0,6,2,0,3,2024,2,"Talia Nielsen"
"89","Abilene Christian","4497986","Houston Christian","Nielsen","Talia",7,5,1,2,1,6,28,0,5,8,2024,2,"Talia Nielsen"
"90","Abilene Christian","4499362","Omaha","Beeman","Ella",4,4,1,0,0,1,17,0,3,8,2024,2,"Ella Beeman"
"91","Abilene Christian","4503476","Utah Tech","Russo","Angelina",4,5,3,3,2,2,21,0,6,3,2024,2,"Angelina Russo"
"92","Abilene Christian","4508748","SFA","Beeman","Ella",5,4,0,1,0,1,20,0,7,7,2024,2,"Ella Beeman"
"93","Abilene Christian","4508748","SFA","White","Riley",0.2,4,4,1,0,1,7,0,1,0,2024,2,"Riley White"
"94","Abilene Christian","4503717","Utah Tech","Russo","Angelina",1.2,5,4,1,1,0,11,0,3,1,2024,2,"Angelina Russo"
"95","Abilene Christian","4505756","Tarleton St.","Russo","Angelina",5.1,3,1,1,0,1,22,0,8,7,2024,2,"Angelina Russo"
"96","Abilene Christian","4503024","North Texas","Beeman","Ella",5,3,2,2,1,2,21,0,6,7,2024,2,"Ella Beeman"
"97","Abilene Christian","5283384","UT Arlington","Beeman","Ella",4,6,4,2,0,3,20,0,3,6,2024,2,"Ella Beeman"
"98","Abilene Christian","4499404","South Dakota","Russo","Angelina",7,5,2,3,0,5,30,0,10,6,2024,2,"Angelina Russo"
"99","Abilene Christian","4500276","Sam Houston","Nielsen","Talia",0.1,3,4,1,0,1,5,2,0,0,2024,2,"Talia Nielsen"
"100","Abilene Christian","4507174","Southern Utah","Beeman","Ella",1,0,0,0,0,2,3,0,0,1,2024,2,"Ella Beeman"
"101","Abilene Christian","4514370","Sam Houston","White","Riley",3,0,0,1,0,0,10,0,6,3,2024,2,"Riley White"
"102","Abilene Christian","4507554","Southern Utah","Rote","Bubba",0.2,3,2,1,0,1,6,1,1,0,2024,2,"Bubba Rote"
"103","Abilene Christian","4510844","California Baptist","Russo","Angelina",7,5,2,1,1,5,28,0,10,5,2024,2,"Angelina Russo"
"104","Abilene Christian","4498626","Houston Christian","Russo","Angelina",3.1,5,5,2,0,3,17,1,5,2,2024,2,"Angelina Russo"
"105","Abilene Christian","4498029","New Mexico","Russo","Angelina",7,7,0,1,1,5,31,0,7,8,2024,2,"Angelina Russo"
"106","Abilene Christian","4515068","Utah Valley","Beeman","Ella",1.1,4,3,3,0,1,10,2,1,1,2024,2,"Ella Beeman"
"107","Abilene Christian","4508748","SFA","Nielsen","Talia",1.1,1,0,0,0,0,6,0,2,2,2024,2,"Talia Nielsen"
"108","Abilene Christian","4506986","Texas Tech","White","Riley",2,8,6,2,1,2,17,1,1,3,2024,2,"Riley White"
"109","Abilene Christian","4503024","North Texas","Russo","Angelina",1,5,5,1,0,1,10,0,1,1,2024,2,"Angelina Russo"
"110","Abilene Christian","5283355","UT Arlington","Russo","Angelina",7,6,4,3,0,7,31,0,9,3,2024,2,"Angelina Russo"
"111","Abilene Christian","4499709","Omaha","Russo","Angelina",1,1,3,3,0,0,7,0,1,2,2024,2,"Angelina Russo"
"112","Abilene Christian","4500276","Sam Houston","White","Riley",3,5,0,2,0,1,17,0,4,4,2024,2,"Riley White"
"113","Abilene Christian","4506485","Utah Valley","Russo","Angelina",5,7,3,1,0,3,23,0,8,4,2024,2,"Angelina Russo"
"114","Abilene Christian","4505756","Tarleton St.","Nielsen","Talia",0.2,5,3,0,0,1,8,1,0,1,2024,2,"Talia Nielsen"
"115","Abilene Christian","4497609","UTEP","Russo","L",0.2,3,0,2,1,1,8,0,0,1,2024,2,"L Russo"
"116","Abilene Christian","4505151","Seattle U","Rote","Bubba",5,3,1,3,0,0,21,0,8,7,2024,2,"Bubba Rote"
"117","Abilene Christian","4507554","Southern Utah","Beeman","Ella",3,4,2,0,0,1,13,0,5,3,2024,2,"Ella Beeman"
"118","Abilene Christian","4499808","Tex. A&M-Commerce","Nielsen","Talia",7,3,0,0,0,2,27,0,9,10,2024,2,"Talia Nielsen"
"119","Abilene Christian","4513039","Southern Utah","Nielsen","Talia",1.2,5,5,2,1,1,13,1,0,4,2024,2,"Talia Nielsen"
"120","Abilene Christian","4517117","California Baptist","Beeman","Ella",2.1,6,6,1,2,1,16,1,2,4,2024,2,"Ella Beeman"
"121","Abilene Christian","4515524","Seattle U","Nielsen","Talia",1,5,7,1,1,0,10,1,2,1,2024,2,"Talia Nielsen"
"122","Abilene Christian","4517058","SFA","Russo","Angelina",6,2,1,1,1,1,21,0,6,10,2024,2,"Angelina Russo"
"123","Abilene Christian","4516303","New Mexico St.","Beeman","Ella",2.2,3,0,3,0,1,14,0,3,4,2024,2,"Ella Beeman"
"124","Abilene Christian","4505151","Seattle U","Beeman","Ella",1,1,0,0,0,0,3,0,0,2,2024,2,"Ella Beeman"
"125","Abilene Christian","4501322","UTSA","White","Riley",0.2,2,1,3,0,0,6,0,1,0,2024,2,"Riley White"
"126","Abilene Christian","4515817","Tex. A&M-Commerce","Beeman","Ella",7,6,2,2,1,2,31,1,8,11,2024,2,"Ella Beeman"
"127","Abilene Christian","4512598","Tarleton St.","Russo","Angelina",1.1,0,0,2,0,1,6,0,0,3,2024,2,"Angelina Russo"
"128","Abilene Christian","4517117","California Baptist","White","Riley",4.2,6,0,0,0,1,19,0,5,7,2024,2,"Riley White"
"129","Abilene Christian","4498626","Houston Christian","Nielsen","Talia",3.2,3,1,1,0,0,14,0,1,9,2024,2,"Talia Nielsen"
"130","Abilene Christian","4512598","Tarleton St.","Beeman","Ella",5.2,9,5,4,0,4,30,0,5,8,2024,2,"Ella Beeman"
"131","Abilene Christian","4506485","Utah Valley","Rote","Bubba",2,2,2,2,0,1,9,0,1,3,2024,2,"Bubba Rote"
"132","Abilene Christian","4498329","Marist","Beeman","Ella",5,2,2,2,0,1,19,0,5,9,2024,2,"Ella Beeman"
"133","Abilene Christian","4507174","Southern Utah","Russo","Angelina",6,7,4,4,0,3,29,2,9,5,2024,2,"Angelina Russo"
"134","Abilene Christian","4499838","Tex. A&M-Commerce","Russo","Angelina",7,6,1,0,0,5,27,0,12,4,2024,2,"Angelina Russo"
"135","Abilene Christian","4511941","Grand Canyon","Nielsen","Talia",1.2,3,1,1,0,0,9,0,2,3,2024,2,"Talia Nielsen"
"136","Abilene Christian","4513039","Southern Utah","White","Riley",2.1,8,7,0,0,1,17,2,2,4,2024,2,"Riley White"
"137","Abilene Christian","4505151","Seattle U","White","Riley",1,4,2,2,0,0,10,0,1,2,2024,2,"Riley White"
"138","Abilene Christian","4504880","Seattle U","Nielsen","Talia",5,7,3,1,0,0,22,1,8,6,2024,2,"Talia Nielsen"
"139","Abilene Christian","4503717","Utah Tech","Beeman","Ella",3,6,2,2,0,2,16,0,3,3,2024,2,"Ella Beeman"
"140","Abilene Christian","4511941","Grand Canyon","White","Riley",1.1,5,5,0,0,1,9,2,1,2,2024,2,"Riley White"
"141","Abilene Christian","4506986","Texas Tech","Schaefer","Elizabeth",0.1,1,3,3,0,0,5,0,0,1,2024,2,"Elizabeth Schaefer"
"142","Abilene Christian","5283384","UT Arlington","White","Riley",2,1,0,1,0,0,8,0,2,2,2024,2,"Riley White"
"143","Abilene Christian","4496850","Western Mich.","Schaefer","Elizabeth",0.1,0,2,3,0,0,4,0,1,0,2024,2,"Elizabeth Schaefer"
"144","Abilene Christian","4511087","California Baptist","Russo","Angelina",3,6,4,1,2,2,18,0,5,2,2024,2,"Angelina Russo"
"145","Abilene Christian","4503717","Utah Tech","Nielsen","Talia",1.1,5,5,0,0,1,10,1,0,3,2024,2,"Talia Nielsen"
"146","Abilene Christian","4511087","California Baptist","Rote","Bubba",1,2,2,3,0,1,9,1,1,1,2024,2,"Bubba Rote"
"147","Abilene Christian","4497041","UTEP","Russo","Lina",6,4,4,4,2,4,27,1,12,1,2024,2,"Lina Russo"
"148","Abilene Christian","4511941","Grand Canyon","Beeman","Ella",1,4,4,1,0,0,9,0,0,3,2024,2,"Ella Beeman"
"149","Abilene Christian","4511729","Grand Canyon","Russo","Angelina",6,6,2,5,0,5,27,0,8,3,2024,2,"Angelina Russo"
"150","Abilene Christian","4496850","Western Mich.","White","Riley",1.2,4,3,2,0,0,10,0,2,1,2024,2,"Riley White"
"151","Abilene Christian","4517862","Grand Canyon","Russo","Angelina",1.2,2,0,3,0,0,11,0,1,4,2024,2,"Angelina Russo"
"152","Abilene Christian","4507554","Southern Utah","Russo","Angelina",2.1,7,6,1,0,0,14,1,3,3,2024,2,"Angelina Russo"
"153","Abilene Christian","4509724","UT Arlington","Russo","Angelina",7,5,0,1,0,5,26,0,10,4,2024,2,"Angelina Russo"
"154","Abilene Christian","4499709","Omaha","Beeman","Ella",5,5,2,2,1,2,24,0,3,9,2024,2,"Ella Beeman"
"155","Abilene Christian","4511087","California Baptist","Nielsen","Talia",2,4,2,0,1,0,12,1,3,3,2024,2,"Talia Nielsen"
"156","Abilene Christian","4500582","Sam Houston","Beeman","Ella",0.2,1,0,0,0,0,3,0,1,1,2024,2,"Ella Beeman"
"157","Abilene Christian","4516303","New Mexico St.","Nielsen","Talia",3.1,2,1,2,1,2,15,0,6,1,2024,2,"Talia Nielsen"
"158","Abilene Christian","4498329","Marist","Russo","Angelina",0.1,0,0,0,0,1,2,0,0,0,2024,2,"Angelina Russo"
"159","Abilene Christian","4517862","Grand Canyon","Nielsen","Talia",0.1,0,0,0,0,0,1,0,0,1,2024,2,"Talia Nielsen"
"160","Abilene Christian","4496850","Western Mich.","Beeman","Ella",4,7,4,3,0,1,21,0,6,4,2024,2,"Ella Beeman"
"161","Abilene Christian","4497609","UTEP","White","Riley",2,5,2,3,0,1,15,1,2,3,2024,2,"Riley White"
"162","Abilene Christian","4498329","Marist","White","Riley",1.2,4,2,1,0,1,9,0,1,2,2024,2,"Riley White"
"163","Abilene Christian","4497609","UTEP","Beeman","Ella",1.1,1,3,4,0,0,9,1,1,3,2024,2,"Ella Beeman"
"164","Abilene Christian","4506248","Utah Valley","Russo","Angelina",5,3,1,0,0,7,19,1,5,2,2024,2,"Angelina Russo"
"165","Abilene Christian","4497393","New Mexico St.","Russo","Lina",1.1,4,8,2,2,1,12,1,1,2,2024,2,"Lina Russo"
"166","Academy of Art","4512810","Dominican (CA)","Powell","Kamielle",3,4,0,2,0,2,14,0,3,3,2024,30123,"Kamielle Powell"
"167","Academy of Art","4512810","Dominican (CA)","Fordham","Talyn",0.2,2,0,2,0,0,7,0,2,0,2024,30123,"Talyn Fordham"
"168","Academy of Art","4514154","Hawaii Pacific","Vaughan","Kayla",6,7,4,2,1,4,27,0,4,8,2024,30123,"Kayla Vaughan"
"169","Academy of Art","4503901","Dominican (CA)","Vaughan","Kayla",4.2,4,6,6,3,7,27,1,2,5,2024,30123,"Kayla Vaughan"
"170","Academy of Art","4512810","Dominican (CA)","Fullmer","Alyssa",2.1,6,5,0,0,1,13,2,4,2,2024,30123,"Alyssa Fullmer"
"171","Academy of Art","4503901","Dominican (CA)","Fordham","Talyn",1.1,1,1,2,0,2,7,0,1,1,2024,30123,"Talyn Fordham"
"172","Adams St.","4517889","CSU Pueblo","Heiser","Ellie",5,13,8,3,0,2,31,1,2,8,2024,929,"Ellie Heiser"
"173","Adams St.","4517619","Colo. Sch. of Mines","Veglia","Makayla",4.1,7,8,5,2,1,27,0,3,8,2024,929,"Makayla Veglia"
"174","Adams St.","4503911","Colorado Mesa","Davis","Aubree",6,8,1,4,1,5,33,0,6,5,2024,929,"Aubree Davis"
"175","Adams St.","4512820","Colorado Mesa","Davis","Aubree",1,1,1,1,0,1,5,1,1,1,2024,929,"Aubree Davis"
"176","Adams St.","4514629","Regis (CO)","Hood","Danielle",6,13,14,11,0,4,42,0,5,9,2024,929,"Danielle Hood"
"177","Adams St.","4512820","Colorado Mesa","Hood","Danielle",5,8,7,3,1,3,27,0,4,8,2024,929,"Danielle Hood"
"178","Adams St.","4512975","Colo. Christian","Hood","Danielle",4,11,9,5,3,0,31,1,3,8,2024,929,"Danielle Hood"
"179","Adams St.","4512975","Colo. Christian","Davis","Aubree",1,2,0,2,0,0,7,0,2,1,2024,929,"Aubree Davis"
"180","Adelphi","4512952","CUI","Kenney","Lily",6,7,6,2,0,1,28,0,11,6,2024,3,"Lily Kenney"
"181","Adelphi","4511117","St. Anselm","Hibbs","Lindsey",7,6,1,2,0,11,29,0,2,7,2024,3,"Lindsey Hibbs"
"182","Adelphi","4517019","Southern N.H.","Kenney","Lily",5.1,3,2,1,0,1,19,0,6,8,2024,3,"Lily Kenney"
"183","Adelphi","4517057","Bentley","Kenney","Lily",3,4,1,0,0,0,11,0,4,3,2024,3,"Lily Kenney"
"184","Adelphi","4509124","Assumption","Hibbs","Lindsey",9,7,3,1,1,4,37,0,5,17,2024,3,"Lindsey Hibbs"
"185","Adelphi","4517057","Bentley","Parente","Tori",4,2,1,2,0,2,17,0,8,1,2024,3,"Tori Parente"
"186","Adelphi","4517694","Georgian Court","Kenney","Lily",7,4,1,0,0,5,26,0,7,7,2024,3,"Lily Kenney"
"187","Adelphi","4517019","Southern N.H.","Parente","Tori",0.2,1,0,1,1,1,5,0,1,0,2024,3,"Tori Parente"
"188","Adrian","5334319","Trine","Schang","Macee",4,2,0,0,0,2,15,0,2,8,2024,4,"Macee Schang"
"189","Adrian","5334317","Hope","Schang","Macee",4.2,6,2,1,2,2,23,0,8,4,2024,4,"Macee Schang"
"190","Adrian","5334319","Trine","Patton","Abbi",2,2,0,0,0,2,7,0,2,1,2024,4,"Abbi Patton"
"191","Adrian","5334317","Hope","Patton","Abbi",1.1,2,2,0,0,1,7,0,2,1,2024,4,"Abbi Patton"
"192","Agnes Scott","4516040","Berry","Hutto","Regan",0.2,2,4,2,0,0,7,0,0,2,2024,11324,"Regan Hutto"
"193","Agnes Scott","4516287","Albany St. (GA)","Greenwood","Bryn",5.1,11,8,3,1,1,30,2,7,7,2024,11324,"Bryn Greenwood"
"194","Agnes Scott","4504593","Clark Atlanta","Greenwood","Bryn",4,9,4,2,0,1,22,1,6,3,2024,11324,"Bryn Greenwood"
"195","Agnes Scott","4512735","Berea","Hutto","Regan",0.2,1,0,0,0,1,3,0,1,0,2024,11324,"Regan Hutto"
"196","Agnes Scott","4504593","Clark Atlanta","Barnes","Amanda",2,4,3,1,0,3,13,0,2,1,2024,11324,"Amanda Barnes"
"197","Agnes Scott","4516040","Berry","Greenwood","Bryn",3.1,9,5,0,2,2,23,1,2,6,2024,11324,"Bryn Greenwood"
"198","Agnes Scott","4512980","Clark Atlanta","Greenwood","Bryn",6,8,5,0,0,4,27,0,4,10,2024,11324,"Bryn Greenwood"
"199","Agnes Scott","4512476","Salem (NC)","Hutto","Regan",5,3,0,3,0,4,20,0,2,8,2024,11324,"Regan Hutto"
