"","team_id","player_id","season","player","ab","h","x2b","x3b","hr","rbi","r","bb","hbp","k","sb","cs","avg","obp","ops","team"
"151",1162,4612,2020,"Sydney Beaird",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000","LaGrange"
"152",1167,3405,2020,"Bricelin Balcer",1,1,0,0,0,1,3,0,0,0,2,0,"1.000",1,"2.000","Lander"
"153",1167,76583,2020,"Jillian Terpenning",2,2,0,0,0,2,1,0,0,0,0,0,"1.000",1,"2.000","Lander"
"154",1167,31646,2020,"Kensley Hamilton",1,1,0,0,0,0,2,0,0,0,1,1,"1.000",1,"2.000","Lander"
"155",1179,1744,2020,"Rachel Anderson",1,1,0,0,0,0,5,0,0,0,0,0,"1.000",1,"2.000","Linfield"
"156",1254,63660,2020,"Hannah Rector",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000","Neumann"
"157",1274,10516,2020,"Taylor Butterfield",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000","Northwest Nazarene"
"158",1305,4831,2020,"Theresa Beck",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000","Cairn"
"159",1334,55445,2020,"Ashley Nassy",1,1,0,0,0,0,8,0,0,0,3,2,"1.000",1,"2.000","St. Edward's"
"160",1355,29475,2020,"Rebecca Gownley",1,1,0,0,0,1,1,0,0,0,0,0,"1.000",1,"2.000","Schreiner"
"161",1376,60697,2020,"Natalie Phillips",1,1,0,0,0,0,3,0,0,0,0,0,"1.000",1,"2.000","Southern Ark."
"162",1395,36024,2020,"Karley Horton",1,1,0,0,0,0,0,1,1,0,0,0,"1.000",1,"2.000","Tarleton St."
"163",1446,56781,2020,"Caisha Nunes",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000","Western Ore."
"164",1461,72583,2020,"Sydney Smith",1,1,0,0,0,1,1,2,0,0,0,0,"1.000",1,"2.000","Wilmington (OH)"
"165",2743,15536,2020,"Julia Cordon",1,1,0,0,0,0,1,0,0,0,0,0,"1.000",1,"2.000","UIW"
"166",2751,42275,2020,"Makayla Kraemer",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000","Pacific (OR)"
"167",2807,68271,2020,"Caitlyn Santiago",3,2,2,0,0,2,1,0,0,1,0,0,"0.667",0.667,"2.000","Roosevelt"
"168",2807,83518,2020,"Camryn Williams",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000","Roosevelt"
"169",2807,7699,2020,"Mckayla Bowen",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000","Roosevelt"
"170",8398,72850,2020,"Chinmayee Sohoo",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000","Hilbert"
"171",8486,33361,2020,"Bethany Hector",3,3,0,0,0,0,1,0,1,0,0,0,"1.000",1,"2.000","Lasell"
"172",8530,27005,2020,"Reyna Garcia",1,1,0,0,0,0,0,1,0,0,0,0,"1.000",1,"2.000","McMurry"
"173",8736,44247,2020,"Alisha Leber",1,1,0,0,0,0,2,0,0,0,0,0,"1.000",1,"2.000","Southwest Minn. St."
"174",8746,36128,2020,"Kealie House",2,2,0,0,0,1,1,0,0,0,0,0,"1.000",1,"2.000","Southwestern (TX)"
"175",9754,80768,2020,"Kaley Wagner",1,1,0,0,0,0,2,0,0,0,0,0,"1.000",1,"2.000","UC-Colo. Springs"
"176",9754,10395,2020,"Shae Bushey",1,1,0,0,0,1,0,1,0,0,0,0,"1.000",1,"2.000","UC-Colo. Springs"
"177",10972,204,2020,"Holly Ackerman",1,1,0,0,0,0,0,0,0,0,1,0,"1.000",1,"2.000","Chatham"
"178",12810,23115,2020,"Mayson Evans",1,1,0,0,0,2,1,0,0,0,0,0,"1.000",1,"2.000","Northeastern St."
"179",12830,5607,2020,"Hailey Berglof",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000","Tusculum"
"180",12884,54956,2020,"Dara Murphy",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000","Centenary (NJ)"
"181",13302,82249,2020,"Christian Welch",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000","Lees-McRae"
"182",17094,57713,2020,"Alexandria Oneal",1,1,0,0,0,0,0,1,0,0,0,0,"1.000",1,"2.000","William Peace"
"183",28593,3978,2020,"Lauren Barnett",1,1,0,0,0,0,2,1,0,0,0,0,"1.000",1,"2.000","Birmingham-So."
"184",30002,10733,2020,"Hannah Caffey",1,1,0,0,0,1,0,0,0,0,0,0,"1.000",1,"2.000","Trevecca Nazarene"
"185",30002,78532,2020,"Laney Tucker",1,1,0,0,0,0,3,0,0,0,1,0,"1.000",1,"2.000","Trevecca Nazarene"
"186",30024,83939,2020,"Jessie Wilson",1,1,0,0,0,1,0,0,0,0,0,0,"1.000",1,"2.000","Utah Valley"
"187",30035,56402,2020,"Maddie Noble",1,1,0,0,0,1,1,0,1,0,1,0,"1.000",1,"2.000","Crown (MN)"
"188",30052,12888,2020,"Laken Chambers",1,1,0,0,0,1,1,0,0,0,0,0,"1.000",1,"2.000","North Georgia"
"189",30090,65967,2020,"Natasha Rodriguez",1,1,0,0,0,1,0,0,0,0,0,0,"1.000",1,"2.000","Tex. A&M Int'l"
"190",30094,24926,2020,"Alyssa Flynn",2,2,0,0,0,0,2,1,0,0,0,0,"1.000",1,"2.000","Brevard"
"191",30127,85684,2020,"Anissa Zacharczuk",1,1,0,0,0,2,1,2,0,0,0,0,"1.000",1,"2.000","Simon Fraser"
"192",30177,71714,2020,"Lauren Singletary",1,1,0,0,0,0,1,0,0,0,0,0,"1.000",1,"2.000","Lubbock Christian"
"193",30179,16250,2020,"Kali Crandall",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000","Okla. Christian"
"194",30197,24309,2020,"Hannah Finley",1,1,0,0,0,0,2,0,1,0,0,0,"1.000",1,"2.000","Belhaven"
"195",30221,47276,2020,"Alyssa Mactrinder",1,1,0,0,0,1,0,0,0,0,0,0,"1.000",1,"2.000","Davenport"
"196",30221,75911,2020,"Nikki Szost",1,1,0,0,0,0,1,0,0,0,0,0,"1.000",1,"2.000","Davenport"
"197",506055,60217,2020,"Riley Perryman",3,3,0,0,0,1,2,1,0,0,0,0,"1.000",1,"2.000","Valley City St."
"198",359,3868,2020,"Stephanie Barksdale",9,6,2,0,1,4,2,2,1,1,1,0,"0.667",0.75,"1.972","Livingstone"
"199",676,42454,2020,"Ashley Kriesel",4,2,0,0,1,2,3,2,1,2,0,0,"0.500",0.714,"1.964","SFA"
"200",508,80034,2020,"Codi Vernace",5,3,0,0,1,3,5,3,0,0,0,0,"0.600",0.75,"1.950","Northwestern St."
"201",9630,40514,2020,"Shelby Kennedy",3,1,0,0,1,4,2,1,1,0,0,0,"0.333",0.6,"1.933","West Va. Wesleyan"
"202",453,69358,2020,"Sarah Schubert",17,10,0,3,2,6,6,2,2,2,0,0,"0.588",0.636,"1.930","Muhlenberg"
"203",745,9986,2020,"Daja Burgee",4,2,0,0,1,2,3,1,1,1,0,0,"0.500",0.667,"1.917","Va. Wesleyan"
"204",200,49387,2020,"Brooke Matyasovsky",6,3,2,0,1,4,4,1,0,0,0,0,"0.500",0.571,"1.904","Eastern Conn. St."
"205",41,33196,2020,"Olivia Hazelbaker",9,6,2,0,1,3,2,0,0,0,0,0,"0.667",0.667,"1.889","Augustana (SD)"
"206",30199,54158,2020,"Erika Morris",11,4,0,0,4,8,4,2,0,2,0,0,"0.364",0.429,"1.884","CUI"
"207",9500,72206,2020,"Ariel Smith",8,4,1,0,2,4,4,0,0,0,2,0,"0.500",0.5,"1.875","SUNY Poly"
"208",245,22394,2020,"Christina Elsbury",12,8,3,1,0,7,12,6,0,0,6,0,"0.667",0.778,"1.861","Gallaudet"
"209",442,61907,2020,"Amber Powers",32,21,7,1,2,8,17,8,0,2,0,0,"0.656",0.725,"1.850","Montclair St."
