"","team_id","season","player","ab","h","x2b","x3b","hr","rbi","r","bb","hbp","k","sb","cs","avg","obp","ops"
"105",428,2019,"Natalie Denhartog",168,63,17,2,16,63,37,11,3,38,5,2,"0.375",0.421,"1.207"
"106",156,2019,"Amber Nelson",154,61,17,1,11,46,31,23,1,29,0,0,"0.396",0.472,"1.206"
"107",648,2019,"Jana Johns",161,56,9,2,15,44,50,30,21,25,4,1,"0.348",0.495,"1.203"
"108",649,2019,"Ali Herdliska",157,54,8,1,16,46,35,45,1,34,1,0,"0.344",0.49,"1.203"
"109",518,2019,"Emily Clark",159,61,14,2,12,54,41,27,5,11,8,1,"0.384",0.479,"1.202"
"110",72,2019,"Gabby Stoner",74,32,7,2,2,11,25,15,2,12,1,0,"0.432",0.538,"1.200"
"111",156,2019,"Tara Shadowen",122,43,9,0,14,39,37,12,6,23,4,0,"0.352",0.427,"1.197"
"112",261,2019,"Rikkelle Miller",111,47,9,1,8,41,21,7,1,9,5,0,"0.423",0.458,"1.197"
"113",29,2019,"Jessie Harper",200,66,9,1,28,69,64,20,1,27,1,0,"0.330",0.39,"1.195"
"114",317,2019,"Megan Good",165,56,11,1,16,58,46,47,1,39,0,0,"0.339",0.486,"1.195"
"115",234,2019,"Cali Harrod",177,62,9,2,15,41,73,57,1,37,42,5,"0.350",0.508,"1.186"
"116",220,2019,"Kaleigh Macdonald",11,4,0,1,1,5,12,0,0,4,0,0,"0.364",0.364,"1.182"
"117",472,2019,"Mya Felder",150,56,16,1,12,46,32,21,3,12,5,2,"0.373",0.449,"1.182"
"118",700,2019,"Trenity Edwards",137,50,9,0,14,43,25,20,1,21,1,1,"0.365",0.444,"1.181"
"119",315,2019,"Taylor Beshears",163,66,12,0,14,43,44,12,1,25,6,0,"0.405",0.444,"1.180"
"120",6,2019,"Tamia Lee-barbadillo",133,52,8,1,12,32,38,7,6,17,5,1,"0.391",0.442,"1.179"
"121",110,2019,"Bubba Nickles",203,80,12,1,17,70,64,24,4,26,6,1,"0.394",0.464,"1.178"
"122",550,2019,"Darian Lindsey",166,67,20,2,7,33,36,33,4,14,7,6,"0.404",0.502,"1.177"
"123",428,2019,"Hope Brandner",165,58,9,0,17,56,29,35,0,28,0,0,"0.352",0.46,"1.175"
"124",540,2019,"Berit Batterton",5,1,0,0,1,1,6,2,0,2,0,0,"0.200",0.375,"1.175"
"125",742,2019,"Kelsey Bennett",160,59,11,2,14,45,33,21,6,14,1,0,"0.369",0.45,"1.175"
"126",627,2019,"Bella Vick",14,6,1,1,0,3,3,2,1,3,0,0,"0.429",0.529,"1.172"
"127",648,2019,"Alyssa Kumiyama",81,28,4,0,10,34,11,5,4,20,0,0,"0.346",0.407,"1.172"
"128",127,2019,"Samantha Pizzonia",7,3,1,0,0,2,0,2,1,4,0,0,"0.429",0.6,"1.171"
"129",430,2019,"Ulufa Leilua",177,61,7,0,22,52,44,18,5,28,1,0,"0.345",0.412,"1.169"
"130",503,2019,"Katie Keller",129,53,21,1,4,26,34,18,3,23,12,4,"0.411",0.487,"1.169"
"131",30197,2019,"Marlee Blackwell",11,6,1,0,0,1,0,2,0,0,1,0,"0.545",0.533,"1.169"
"132",72,2019,"Allison Apke",123,44,5,0,12,39,26,25,3,11,1,0,"0.358",0.477,"1.168"
"133",388,2019,"Mya Stevenson",163,53,10,2,19,56,41,21,3,45,4,1,"0.325",0.407,"1.168"
"134",80,2019,"Kaitlin Okimoto",3,1,1,0,0,0,1,0,1,0,0,0,"0.333",0.5,"1.167"
"135",116,2019,"Samantha Crane",2,1,0,0,0,0,2,1,0,0,0,1,"0.500",0.667,"1.167"
"136",228,2019,"Zoi Hall",2,1,0,0,0,0,0,0,1,0,0,0,"0.500",0.667,"1.167"
"137",237,2019,"Marlayzha Crutchfield",2,1,0,0,0,0,0,1,0,1,0,0,"0.500",0.667,"1.167"
"138",270,2019,"Lauryn Brooks",2,1,0,0,0,0,3,1,0,1,0,0,"0.500",0.667,"1.167"
"139",483,2019,"Maegen Ellis",3,1,1,0,0,1,9,0,1,1,0,0,"0.333",0.5,"1.167"
"140",550,2019,"Ariana Abalos",2,1,0,0,0,1,0,1,0,0,0,0,"0.500",0.667,"1.167"
"141",596,2019,"Emmarae Easton",2,1,0,0,0,0,1,0,1,0,0,0,"0.500",0.667,"1.167"
"142",651,2019,"Aubrey Ledbetter",3,1,1,0,0,0,1,1,0,2,0,0,"0.333",0.5,"1.167"
"143",703,2019,"Jaden Hoelker",2,1,0,0,0,0,2,1,0,0,0,0,"0.500",0.667,"1.167"
"144",671,2019,"Julie Rawls",134,49,9,0,10,49,41,39,5,16,11,1,"0.366",0.505,"1.162"
"145",676,2019,"Margarita Corona",174,67,12,0,13,40,31,37,0,29,1,1,"0.385",0.484,"1.162"
"146",43,2019,"Danielle Liermann",175,65,9,0,18,52,35,16,2,8,0,0,"0.371",0.428,"1.159"
"147",77,2019,"Rylee Jensen",170,67,14,1,12,33,45,20,1,24,6,0,"0.394",0.458,"1.158"
"148",283,2019,"Meghan Giordano",143,54,13,0,10,53,27,30,2,21,0,0,"0.378",0.48,"1.158"
"149",317,2019,"Logan Newton",131,50,8,1,10,45,34,21,1,14,0,0,"0.382",0.471,"1.158"
"150",742,2019,"Emma Strouth",183,74,14,1,13,68,50,15,3,9,6,0,"0.404",0.453,"1.158"
"151",522,2019,"Grace Green",163,59,6,0,17,52,47,25,1,25,9,2,"0.362",0.445,"1.157"
"152",365,2019,"Amanda Sanchez",158,56,16,0,9,54,39,43,18,23,1,0,"0.354",0.529,"1.156"
"153",433,2019,"Katelin Cooper",5,1,0,1,0,2,11,3,1,3,5,2,"0.200",0.556,"1.156"
"154",439,2019,"Lindsey Baron",167,58,21,3,12,28,51,22,3,22,9,1,"0.347",0.428,"1.153"
"155",700,2019,"Morgan Hornback",36,11,5,0,3,12,5,10,0,11,0,0,"0.306",0.457,"1.151"
"156",290,2019,"Kalita Dennis",145,58,14,4,7,32,39,13,2,15,10,3,"0.400",0.453,"1.150"
"157",110,2019,"Aaliyah Jordan",175,66,19,0,12,58,41,27,0,29,1,0,"0.377",0.458,"1.149"
"158",521,2019,"Samantha Show",180,60,12,0,19,53,40,31,1,40,2,0,"0.333",0.432,"1.149"
"159",519,2019,"Katie Yun",194,78,18,1,14,35,52,8,3,21,6,1,"0.402",0.424,"1.146"
"160",158,2019,"Sommer Grzybek",99,35,6,0,9,27,18,17,3,16,3,1,"0.354",0.458,"1.145"
"161",2707,2019,"Lia Lombardini",39,15,2,0,3,9,12,6,1,4,1,3,"0.385",0.478,"1.145"
"162",169,2019,"Kiara Mills",112,40,5,2,11,33,20,10,4,20,0,0,"0.357",0.412,"1.144"
"163",648,2019,"Kennedy Clark",162,62,18,1,8,33,46,27,10,14,3,0,"0.383",0.488,"1.142"
"164",742,2019,"Grace Chavez",63,21,2,0,7,22,11,11,1,11,0,0,"0.333",0.44,"1.138"
"165",632,2019,"Shayna Byers",23,9,1,0,1,6,5,4,7,4,1,0,"0.391",0.571,"1.136"
"166",600,2019,"Hayley Norton",194,72,10,2,16,65,49,25,3,12,2,1,"0.371",0.444,"1.135"
"167",559,2019,"Jenny Behan",178,64,13,1,13,41,47,38,4,10,3,0,"0.360",0.471,"1.134"
"168",459,2019,"Marisa Sholtes",143,45,10,0,16,45,29,16,8,20,0,0,"0.315",0.413,"1.133"
"169",110,2019,"Taylor Pack",153,56,13,0,11,48,31,26,2,18,0,0,"0.366",0.462,"1.129"
"170",418,2019,"Alex Sobczak",130,46,7,0,10,41,33,27,11,14,6,1,"0.354",0.491,"1.129"
"171",102,2019,"Krystal Aubert",151,53,8,3,13,39,30,13,9,19,1,0,"0.351",0.426,"1.128"
"172",156,2019,"Ashley Ruiz",127,49,9,1,11,41,14,5,1,21,0,0,"0.386",0.396,"1.128"
"173",433,2019,"Izzy Werdann",8,3,2,0,0,3,2,1,1,4,0,0,"0.375",0.5,"1.125"
"174",746,2019,"Hayley Busby",170,66,17,2,11,27,39,12,0,13,2,2,"0.388",0.419,"1.125"
"175",234,2019,"Dani Morgan",180,68,12,2,14,58,38,10,6,15,8,3,"0.378",0.424,"1.124"
"176",255,2019,"Katie Krzus",130,45,8,1,11,35,35,25,2,16,1,0,"0.346",0.447,"1.124"
"177",513,2019,"Katie Marino",148,51,12,1,10,43,63,40,6,22,9,2,"0.345",0.48,"1.122"
"178",742,2019,"Caitlyn Nolan",164,49,10,1,19,55,40,26,6,18,7,0,"0.299",0.401,"1.121"
"179",742,2019,"Darby Trull",165,67,12,3,7,37,46,23,2,18,5,2,"0.406",0.479,"1.121"
"180",301,2019,"Veronica Ruelius",111,37,9,1,9,35,21,21,2,28,1,0,"0.333",0.441,"1.117"
"181",587,2019,"Katie Wingert",158,50,8,0,18,45,31,19,7,20,2,0,"0.316",0.406,"1.115"
"182",655,2019,"Hannah Blackford",13,6,2,0,0,3,4,1,1,0,3,0,"0.462",0.5,"1.115"
"183",301,2019,"Bella Loya",167,62,12,0,12,48,28,27,1,15,0,0,"0.371",0.455,"1.114"
"184",664,2019,"Destini Brown",141,51,7,1,9,26,52,39,5,20,24,4,"0.362",0.497,"1.114"
"185",572,2019,"Ari Castillo",143,56,12,1,8,25,25,17,0,17,1,0,"0.392",0.456,"1.113"
"186",700,2019,"Karli Hamilton",190,76,10,7,8,40,56,21,1,25,13,1,"0.400",0.46,"1.113"
"187",704,2019,"Kacey Duffied",139,54,5,0,10,28,27,22,4,19,1,0,"0.388",0.473,"1.113"
"188",37,2019,"Kendall Veach",163,48,6,1,20,48,41,29,1,31,6,0,"0.294",0.4,"1.112"
"189",191,2019,"Sophie Halverson",9,5,0,0,0,0,1,0,0,0,1,0,"0.556",0.556,"1.112"
"190",414,2019,"Ashton Slone",144,54,16,0,7,38,24,28,1,27,1,0,"0.375",0.48,"1.112"
"191",489,2019,"Dalika Wallace",117,38,11,1,8,38,34,27,7,9,11,0,"0.325",0.471,"1.112"
"192",609,2019,"Sadie Wise",168,68,19,1,7,45,35,16,2,11,1,0,"0.405",0.457,"1.112"
"193",720,2019,"Kendra Gibbons",9,5,0,0,0,1,1,0,0,0,0,0,"0.556",0.556,"1.112"
"194",782,2019,"Madison Perrigan",160,53,15,2,11,43,42,40,0,16,4,0,"0.331",0.456,"1.112"
"195",115,2019,"Kayla Fredendall",147,49,10,0,14,41,34,21,2,29,1,0,"0.333",0.421,"1.108"
"196",553,2019,"Laurisa Hernandez",123,44,3,1,9,40,25,25,7,20,0,1,"0.358",0.49,"1.108"
