"","team_id","player_id","season","player","ab","h","x2b","x3b","hr","rbi","r","bb","hbp","k","sb","cs","avg","obp","ops"
"4485",676,11448,2022,"Emily Land",39,5,1,0,0,1,1,3,0,6,0,0,"0.128",0.178,"0.332"
"4486",116,4128,2022,"Sydney Costan",45,3,0,1,0,3,8,7,3,22,2,0,"0.067",0.22,"0.331"
"4487",617,6652,2022,"Courtney Fraher",37,5,0,0,0,5,3,2,1,4,2,0,"0.135",0.195,"0.330"
"4488",176,6695,2022,"Grace Frazier",66,7,1,0,0,4,10,9,0,15,3,0,"0.106",0.208,"0.329"
"4489",27,2790,2022,"Kam Caldwell",24,3,1,0,0,2,2,1,0,9,1,0,"0.125",0.16,"0.327"
"4490",494,5527,2022,"Angie Dumlao",27,4,0,0,0,2,0,1,0,8,0,0,"0.148",0.179,"0.327"
"4491",711,16674,2022,"Jessica Reed",24,3,1,0,0,0,2,1,0,7,1,0,"0.125",0.16,"0.327"
"4492",590,17998,2022,"Maighread Scafariello",79,11,1,0,0,5,1,4,0,20,1,0,"0.139",0.174,"0.326"
"4493",94,19813,2022,"Kayla Tadewosian",53,7,0,0,0,1,3,2,2,12,0,0,"0.132",0.193,"0.325"
"4494",410,18007,2022,"Hannah Scarano",21,3,0,0,0,1,3,0,1,9,0,0,"0.143",0.182,"0.325"
"4495",26172,16370,2022,"Mackenzie Purcell",18,3,0,0,0,0,1,0,0,9,0,0,"0.167",0.158,"0.325"
"4496",248,473,2022,"Jordan Anderson",20,2,1,0,0,3,2,2,0,9,1,0,"0.100",0.174,"0.324"
"4497",709,13750,2022,"Madison Mikulski",33,4,1,0,0,1,5,2,0,10,0,0,"0.121",0.171,"0.323"
"4498",96,14885,2022,"Adrianna Noriega",19,2,0,0,0,2,1,3,0,8,1,1,"0.105",0.217,"0.322"
"4499",172,11347,2022,"Kira La scola",19,2,0,0,0,1,0,2,1,10,0,0,"0.105",0.217,"0.322"
"4500",191,7177,2022,"Madison Gayle",22,2,0,0,0,1,0,4,0,8,0,0,"0.091",0.231,"0.322"
"4501",482,11532,2022,"Madison Lapenta",11,1,0,0,0,0,9,2,0,6,3,2,"0.091",0.231,"0.322"
"4502",654,17180,2022,"Kelby Robinson",46,7,0,0,0,3,7,1,0,7,2,2,"0.152",0.17,"0.322"
"4503",748,6996,2022,"Alexa Garcia",26,3,0,0,0,0,4,3,0,8,0,0,"0.115",0.207,"0.322"
"4504",310,2485,2022,"Brianna Buck",36,3,0,0,1,1,2,3,0,14,0,1,"0.083",0.154,"0.321"
"4505",400,4874,2022,"Caroline Deem",15,2,0,0,0,1,0,1,0,6,0,0,"0.133",0.188,"0.321"
"4506",419,1940,2022,"Hailey Bosley",26,1,0,0,1,2,1,4,0,10,0,0,"0.038",0.167,"0.321"
"4507",488,19480,2022,"S'niyah Stinson",12,2,0,0,0,2,0,0,0,4,1,0,"0.167",0.154,"0.321"
