"","game_id","team","opponent","player_id","player","ip","ha","er","bb","hb","so","bf","hr_a","go","fo"
"10830","4502638","Albertus Magnus","Wilmington (OH)",62130,"Amanda Savinelli",3,6,2,0,0,2,15,0,4,3
"10831","4503358","St. Norbert","Roger Williams",34894,"Amber Johanek",3,5,0,0,0,1,13,0,2,3
"10832","4496866","New Mexico","Tennessee St.",41212,"Amber Linton",3,5,6,5,1,5,20,0,3,1
"10833","5250675","UMES","La. Christian",3235,"Ameenah Ballenger",3,5,0,2,0,2,18,0,2,5
"10834","4498255","Howard","Grambling",74202,"Ameila Weber",3,5,1,1,0,3,15,0,5,1
"10835","4513134","Howard","N.C. Central",74202,"Ameila Weber",3,3,1,2,1,3,15,1,3,2
"10836","4501829","Southern N.H.","St. Thomas Aquinas",23456,"Amelia Freitas",3,5,3,0,0,3,14,0,2,4
"10837","4500506","Pacific","Montana",1893,"Amiyah Aponte",3,4,3,3,0,2,17,1,1,6
"10838","4504493","Pacific","Fresno St.",1893,"Amiyah Aponte",3,2,2,0,2,1,13,0,5,3
"10839","4502387","Pacific","CSU Bakersfield",1893,"Amiyah Aponte",3,3,2,2,0,2,14,0,3,4
"10840","5246943","Alabama St.","Tuskegee",58590,"Ana Richiez",3,3,0,1,0,3,13,0,2,4
"10841","5250827","Alabama St.","Bryant",58590,"Ana Richiez",3,4,1,1,0,2,14,1,4,1
"10842","4512983","Alabama St.","Tuskegee",58590,"Ana Richiez",3,3,0,1,0,3,13,0,2,4
"10843","4499119","Alabama St.","Grambling",58590,"Ana Richiez",3,2,0,0,0,1,10,0,3,4
"10844","4499079","Monmouth","USC Upstate",59607,"Ana Rodriguez",3,5,3,2,0,1,15,0,6,1
"10845","4500269","Monmouth","Western Mich.",59607,"Ana Rodriguez",3,1,1,0,0,4,10,1,3,2
"10846","4497158","St. John's (NY)","Central Ark.",63498,"Ana Serafinko",3,3,3,6,0,2,18,0,2,5
"10847","4497954","Texas St.","Tulsa",66023,"Analisa Soliz",3,2,1,0,0,1,11,0,5,2
"10848","4497683","Morgan St.","Lincoln (PA)",33469,"Anaya Hunte",3,1,0,0,0,4,9,0,2,2
"10849","4503382","Central Mo.","MSU Moorhead",64513,"Andi Siebeneck",3,3,1,1,0,1,13,0,6,2
"10850","4512813","Loyola Chicago","George Washington",8047,"Andie Broniewicz",3,5,4,3,0,2,17,0,4,2
"10851","4498082","Bethune-Cookman","Stetson",2777,"Angelina Badalament",3,2,1,2,0,1,13,0,5,3
"10852","4502400","FGCU","Pittsburgh",6556,"Angelina Bonilla",3,5,1,1,0,3,15,0,2,4
"10853","4497467","FGCU","Louisville",6556,"Angelina Bonilla",3,2,2,3,0,3,13,2,2,3
"10854","4497759","Hampton","Bryant",7422,"Angelina Branch",3,3,3,1,1,2,13,1,1,5
"10855","5245366","Mercy","Cedarville",52313,"Angelina Oquendo",3,3,0,0,0,1,12,0,5,3
"10856","4499372","Furman","Bowling Green",58403,"Angelina Ricciardi",3,0,0,0,0,1,9,0,5,3
