"","game_id","team","opponent","player_id","player","ip","ha","er","bb","hb","so","bf","hr_a","go","fo","game_order"
"22985",6323909,"East Tex. Baptist","Southwestern (TX)",35399,"Avery Holland",5,4,1,1,1,2,19,0,NA,NA,22985
"22986",6323909,"Southwestern (TX)","East Tex. Baptist",11363,"Jocelyn Cantu",1.2,4,3,0,0,0,5,2,NA,NA,22986
"22987",6323909,"Southwestern (TX)","East Tex. Baptist",85574,"Sophia Ytuarte",4,7,7,6,1,1,26,0,NA,NA,22987
"22988",6323908,"Columbus St.","Union (TN)",25600,"Julianna Franklin",7,2,0,1,1,6,25,0,NA,NA,22988
"22989",6323908,"Union (TN)","Columbus St.",79718,"Riley Vaughn",6,3,2,4,1,6,25,0,NA,NA,22989
"22990",6323907,"Belmont Abbey","Fayetteville St.",52319,"Kayla Milam",1,2,1,0,0,0,6,0,NA,NA,22990
"22991",6323907,"Fayetteville St.","Belmont Abbey",18367,"Kevana Deberry",3.1,0,0,0,1,1,14,0,NA,NA,22991
"22992",6323907,"Belmont Abbey","Fayetteville St.",32644,"Lillian Hartsell",6,2,0,3,0,10,24,0,NA,NA,22992
"22993",6323907,"Fayetteville St.","Belmont Abbey",46438,"Tamarah Lowery",4.2,5,6,1,1,3,18,2,NA,NA,22993
"22994",6323906,"Chaminade","Cal Poly Humboldt",5451,"Bailey Benson",1.2,3,2,1,0,0,5,0,NA,NA,22994
"22995",6323906,"Cal Poly Humboldt","Chaminade",26884,"Gaige Garcia",4,3,1,0,0,1,16,0,NA,NA,22995
"22996",6323906,"Chaminade","Cal Poly Humboldt",46094,"Kamryn Lopez",4.1,14,9,2,1,0,30,0,NA,NA,22996
"22997",6323906,"Cal Poly Humboldt","Chaminade",61493,"Rayna Ponce",1,1,0,1,0,0,5,0,NA,NA,22997
"22998",6323905,"Tampa","West Ala.",84140,"Kelsey Winters",3,4,4,3,1,2,16,0,NA,NA,22998
"22999",6323905,"West Ala.","Tampa",84920,"Madison Wright",7,5,2,0,0,10,25,0,NA,NA,22999
"23000",6323904,"Mary Hardin-Baylor","St. Thomas (TX)",17309,"Allison Dafoe",2,7,4,0,0,0,13,0,NA,NA,23000
