"","game_id","team","opponent","player_id","player","ip","ha","er","bb","hb","so","bf","hr_a","go","fo"
"126","1885207","Morgan St.","Oakland",4169,"Amy Begg",9,11,4,2,0,7,41,0,9,9
"127","1886072","Illinois","Fla. Atlantic",70487,"Breanna Wonderly",9,8,2,3,1,4,41,1,11,12
"128","1894008","UAB","Western Ky.",24406,"Cara Goodwin",9,1,0,0,3,6,31,0,5,16
"129","1896251","UAB","Louisiana Tech",24406,"Cara Goodwin",9,4,1,3,0,3,32,1,9,13
"130","1897064","Buffalo","Western Mich.",43815,"Charlotte Miller",9,10,1,0,0,8,37,0,14,3
"131","1904217","Missouri","Ole Miss",3810,"Cheyenne Baxter",9,7,0,6,0,5,41,0,8,14
"132","1894070","Austin Peay","Tennessee Tech",22013,"Christiana Gable",9,8,2,5,0,5,39,1,12,9
"133","1882403","Long Beach St.","Notre Dame",11830,"Christina Clermont",9,5,3,3,0,3,34,0,9,14
"134","1898522","Long Beach St.","Cal Poly",11830,"Christina Clermont",9,7,0,2,2,1,38,0,4,21
"135","1895383","Lehigh","Saint Joseph's",9321,"Christine Campbell",9,5,1,2,0,8,35,0,11,6
"136","1898304","Troy","ULM",24848,"Claire Graves",9,6,3,4,1,1,39,1,11,14
"137","1899203","Middle Tenn.","Fla. Atlantic",31922,"Cori Jennings",9,5,1,5,0,7,36,0,11,8
"138","1900990","South Alabama","ULM",66835,"Destin Vicknair",9,7,3,3,5,3,42,2,8,14
"139","1885933","Ga. Southern","Eastern Ky.",52583,"Dixie Raley",9,7,0,3,0,3,37,0,10,14
"140","1896007","UIC","Youngstown St.",27928,"Elaine Heflin",9,0,0,2,0,17,30,0,3,7
"141","1888581","Georgia Tech","Notre Dame",1401,"Emily Anderson",9,14,7,4,2,2,45,1,7,14
"142","1892135","SIUE","Tennessee St.",31189,"Emily Ingles",9,4,0,1,2,16,33,0,3,7
"143","1905098","Tulsa","Oklahoma",68150,"Emily Watson",9,13,6,3,0,3,40,3,14,7
"144","1897903","Texas","Texas Tech",70845,"Erica Wright",9,2,1,3,0,12,33,1,4,11
"145","1890702","LIU","Chattanooga",60817,"Erynn Sobieski",9,11,1,0,0,5,38,1,11,8
"146","1902891","Bryant","Mount St. Mary's",19036,"Gabrielle Ermish",9,5,1,4,2,3,37,1,12,10
"147","1898168","Toledo","Central Mich.",68330,"Heather Webb",9,2,1,1,0,2,30,0,10,15
"148","1904996","North Dakota St.","Oklahoma",58604,"Jacquelyn Sertic",9,7,2,0,0,6,33,0,5,15
"149","1892761","Fresno St.","Boise St.",17738,"Kamalani Dung",9,4,1,0,1,5,33,1,13,9
"150","1902163","Fresno St.","UNLV",17738,"Kamalani Dung",9,8,4,1,1,7,38,1,6,14
"151","1903698","Auburn","Alabama",9776,"Kaylee Carlson",9,5,0,3,0,3,35,0,16,8
"152","1898905","UMass Lowell","Binghamton",63437,"Kaysee Talcik",9,7,3,4,1,10,41,2,8,8
"153","1905174","Florida","Oklahoma",3366,"Kelly Barnhill",9,6,5,1,1,13,35,2,7,7
"154","1899028","Elon","Towson",52361,"Kenna Quinn",9,9,2,3,0,2,39,2,13,10
"155","1892313","Indiana St.","UNI",31131,"Kenzie Ihle",9,5,3,5,0,5,36,1,6,15
"156","1898191","Siena","Iona",8826,"Laura Butts",9,6,2,3,1,7,36,1,14,4
"157","1902758","Tennessee St.","Southeast Mo. St.",51654,"Lauren Powell",9,9,5,7,1,6,45,1,9,11
