logo,team_name,record,rpi_rank,nfca_rank,offensive_rank,defensive_rank,overall_rank,team_id
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/1199.gif,Mars Hill,6-9-0,136,NA,193,83,132,1199
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/996.gif,Cameron,7-9-0,111,NA,44,186,133,996
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/675.gif,Staten Island,5-3-0,186,NA,145,117,134,675
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/568.gif,Regis (CO),7-9-0,126,NA,156,110,135,568
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/9081.gif,Concordia-St. Paul,5-11-0,175,NA,89,163,136,9081
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/181.gif,Delta St.,8-6-0,99,NA,140,123,137,181
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/8965.gif,East Central,6-5-0,213,NA,94,165,138,8965
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/1096.gif,Georgia College,4-8-0,142,NA,134,132,139,1096
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/30153.gif,Union (TN),2-11-0,168,NA,139,127,140,30153
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/30221.gif,Davenport,6-3-0,182,NA,185,96,141,30221
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/30146.gif,Azusa Pacific,7-6-0,211,NA,182,103,142,30146
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/1126.gif,Holy Family,2-8-0,173,NA,214,77,143,1126
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/537.gif,UNC Pembroke,3-12-0,172,NA,96,172,144,537
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/13028.gif,Anderson (SC),11-7-0,154,NA,192,99,145,13028
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/30181.gif,UVA Wise,13-8-0,180,NA,188,105,146,30181
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/35.gif,Ashland,4-3-0,159,NA,148,134,147,35
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/1057.gif,Drury,4-6-0,152,NA,121,158,148,1057
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/30120.gif,William Jewell,9-8-0,97,NA,119,159,149,30120
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/237.gif,Fort Valley St.,4-5-0,155,NA,219,78,150,237
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/70.gif,Bowie St.,3-4-0,209,NA,155,139,151,70
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/436.gif,Mo.-St. Louis,6-3-0,100,NA,105,175,152,436
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/1328.gif,Rockhurst,3-8-0,80,NA,160,136,153,1328
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/30050.gif,Ill. Springfield,7-6-0,148,NA,129,161,154,30050
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/20794.gif,Lynn,1-8-0,149,NA,107,176,155,20794
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/435.gif,Missouri S&T,3-9-0,90,NA,116,170,156,435
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/133.gif,Chaminade,2-13-0,212,NA,111,178,157,133
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/30063.gif,Seton Hill,4-4-0,129,NA,123,171,158,30063
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/728.gif,Upper Iowa,4-6-0,160,NA,212,92,159,728
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/1072.gif,Erskine,4-10-0,184,NA,51,205,160,1072
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/734.gif,Valdosta St.,6-8-0,107,NA,98,191,161,734
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/1439.gif,West Virginia St.,4-4-0,113,NA,130,180,163,1439
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/30127.gif,Simon Fraser,8-8-0,135,NA,168,150,164,30127
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/13302.gif,Lees-McRae,4-10-0,162,NA,164,157,165,13302
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/8744.gif,Southwestern Okla.,6-7-0,62,NA,173,147,166,8744
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/30045.gif,Palm Beach Atl.,2-4-0,141,NA,154,173,167,30045
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/30193.gif,Emmanuel (GA),4-10-0,106,NA,220,101,168,30193
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/356.gif,Lincoln (MO),4-8-0,157,NA,199,131,169,356
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/1257.gif,Newberry,9-15-0,165,NA,187,148,171,1257
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/30191.gif,Spring Hill,3-4-0,207,NA,197,138,172,30191
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/2683.gif,Belmont Abbey,10-6-0,174,NA,184,152,173,2683
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/593.gif,St. Anselm,3-3-0,117,NA,194,143,174,593
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/791.gif,Winston-Salem,2-4-0,72,NA,226,100,175,791
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/30222.gif,Purdue Northwest,3-8-0,216,NA,162,177,176,30222
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/30178.gif,Northwestern Okla.,2-8-0,241,NA,127,195,177,30178
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/36.gif,Assumption,0-8-0,192,NA,144,187,178,36
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/30124.gif,Cedarville,2-9-0,187,NA,176,169,179,30124
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/395.gif,Maryville (MO),2-13-0,138,NA,169,181,180,395
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/155.gif,Colo. Sch. of Mines,5-13-0,190,NA,109,204,181,155
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/1240.gif,MSU Moorhead,3-12-0,199,NA,141,197,182,1240
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/1156.gif,Neb.-Kearney,4-7-0,191,NA,201,162,183,1156
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/30244.gif,Edward Waters,4-5-0,205,NA,191,174,184,30244
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/103.gif,Stanislaus St.,3-10-0,176,NA,209,155,185,103
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/1174.gif,Limestone,3-9-0,121,NA,227,122,186,1174
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/12810.gif,Northeastern St.,4-6-0,161,NA,206,164,187,12810
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/1266.gif,Northern St.,2-5-0,204,NA,190,182,188,1266
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/8411.gif,Ark.-Monticello,4-10-0,95,NA,179,189,189,8411
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/1446.gif,Western Ore.,5-9-0,86,NA,132,209,190,1446
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/1012.gif,Chadron St.,7-9-0,202,NA,233,128,191,1012
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/1222.gif,Midwestern St.,5-11-0,156,NA,186,196,192,1222
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/280.gif,Hillsdale,5-5-0,177,NA,153,210,193,280
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/12799.gif,Wheeling,2-9-0,178,NA,183,201,194,12799
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/8935.gif,Converse,4-10-0,208,NA,204,193,195,8935
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/233.gif,Fla. Southern,3-16-0,198,NA,211,190,196,233
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/8875.gif,Chowan,5-8-0,238,NA,167,207,197,8875
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/405.gif,Menlo,1-17-0,195,NA,222,179,198,405
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/8956.gif,Dominican (NY),2-3-0,219,NA,158,215,200,8956
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/30123.gif,Academy of Art,2-13-0,193,NA,161,216,201,30123
